Site,Transmitter Easting,Transmitter northing,Capacite_theorique,Capacite_th,Site_Population,Population/Capacity
22191_001,235257.22,2380673.12,> 240 Mbps,240,1081,4.504166666666666
22193_001,246950.0,2390610.0,> 240 Mbps,240,1366,5.691666666666666
22194_001,161137.79,2422576.34,> 450 Mbps,450,4913,10.917777777777776
22197_003,283174.0,2398847.0,> 240 Mbps,240,3101,12.920833333333333
22198_001,169714.29,2435411.92,> 450 Mbps,450,1124,2.497777777777778
22203_001,223038.98,2384820.03,> 240 Mbps,240,1822,7.591666666666667
22207_001,170350.0,2417245.0,> 450 Mbps,450,1994,4.431111111111111
22207_002,170245.54,2420471.02,> 450 Mbps,450,982,2.1822222222222223
22210_001,204577.33,2435919.43,> 450 Mbps,450,6588,14.64
22211_001,175720.0,2427360.0,> 450 Mbps,450,1803,4.006666666666667
22213_002,278145.0,2401640.0,> 450 Mbps,450,4110,9.133333333333333
22215_002,222959.67,2401124.96,> 240 Mbps,240,4734,19.725
22215_003,220433.42,2400888.49,> 450 Mbps,450,4571,10.157777777777778
22215_006,220315.5,2398052.42,> 240 Mbps,240,1295,5.395833333333333
22215_007,222170.0,2401700.0,> 240 Mbps,240,2665,11.104166666666666
22219_001,225970.95,2377547.94,> 450 Mbps,450,1073,2.3844444444444446
22220_001,185268.87,2375473.81,> 240 Mbps,240,1379,5.745833333333334
22221_001,190729.65,2436917.57,> 450 Mbps,450,2939,6.531111111111112
22223_001,192440.0,2410431.99,> 450 Mbps,450,2637,5.86
22223_003,196327.0,2413739.41,> 450 Mbps,450,962,2.137777777777778
22226_001,168210.0,2426545.0,> 450 Mbps,450,1861,4.135555555555555
22227_001,165851.73,2412613.37,> 240 Mbps,240,418,1.7416666666666667
22228_001,175328.0,2409548.0,> 240 Mbps,240,1492,6.216666666666667
22228_002,172020.0,2411170.0,> 450 Mbps,450,785,1.7444444444444445
22237_002,258894.75,2402797.63,> 450 Mbps,450,1535,3.411111111111111
22240_001,258221.99,2373863.09,> 450 Mbps,450,1210,2.688888888888889
22241_001,234300.0,2355180.0,> 240 Mbps,240,1849,7.704166666666667
22245_001,181953.08,2420874.94,> 450 Mbps,450,1761,3.9133333333333336
22246_001,233330.05,2396121.25,> 240 Mbps,240,2111,8.795833333333333
22247_001,190550.0,2430670.0,> 450 Mbps,450,2904,6.453333333333333
22248_001,197123.97,2416728.21,> 450 Mbps,450,1604,3.5644444444444443
22249_001,184020.0,2401893.0,> 240 Mbps,240,1682,7.008333333333334
22251_002,219500.1,2408489.07,> 450 Mbps,450,4559,10.13111111111111
22255_001,228250.0,2365140.0,> 240 Mbps,240,1285,5.354166666666667
22256_001,196142.92,2425352.55,> 240 Mbps,240,3032,12.633333333333333
22258_001,230053.26,2391682.14,> 450 Mbps,450,1769,3.931111111111111
22259_003,272892.48,2395102.95,> 240 Mbps,240,1972,8.216666666666667
22266_002,180857.0,2375109.0,> 240 Mbps,240,4059,16.9125
22272_002,197841.0,2408955.0,> 450 Mbps,450,2220,4.933333333333334
22273_001,240000.0,2405355.0,> 450 Mbps,450,2086,4.635555555555555
22277_003,211550.84,2390244.12,> 450 Mbps,450,3738,8.306666666666667
22277_004,214700.0,2388410.0,> 240 Mbps,240,1104,4.6
22278_001,225256.24,2401482.9,> 240 Mbps,240,6833,28.47083333333333
22278_005,220979.91,2403350.0,> 240 Mbps,240,4262,17.758333333333333
22278_009,222051.02,2403277.59,> 450 Mbps,450,3872,8.604444444444445
22281_001,224892.0,2389320.0,> 240 Mbps,240,733,3.0541666666666667
22282_004,261091.5,2412735.41,> 240 Mbps,240,2994,12.475
22282_006,261899.41,2409693.28,> 450 Mbps,450,2971,6.602222222222222
22283_001,198480.65,2422121.57,> 450 Mbps,450,2713,6.028888888888889
22287_001,212320.0,2398279.0,> 240 Mbps,240,2164,9.016666666666667
22290_001,196222.0,2371792.0,> 240 Mbps,240,1551,6.4625
22304_001,204177.1,2408170.91,> 240 Mbps,240,1991,8.295833333333333
22309_003,249440.0,2369790.0,> 240 Mbps,240,482,2.0083333333333333
22321_001,191832.97,2382939.45,> 240 Mbps,240,2416,10.066666666666666
22325_002,219350.0,2418280.0,> 450 Mbps,450,3268,7.262222222222222
22333_001,243525.0,2371285.0,> 240 Mbps,240,256,1.0666666666666669
22343_002,165347.63,2435978.82,> 240 Mbps,240,1687,7.029166666666667
22343_005,167584.24,2435396.62,> 450 Mbps,450,1493,3.3177777777777777
22343_006,167119.33,2436877.06,> 450 Mbps,450,1335,2.966666666666667
22347_001,192252.02,2436159.03,> 240 Mbps,240,2553,10.6375
22349_001,166674.64,2428033.84,> 450 Mbps,450,1906,4.235555555555556
22353_002,170140.43,2439399.21,> 450 Mbps,450,2280,5.066666666666666
22353_003,170626.52,2442025.51,> 240 Mbps,240,1198,4.991666666666666
22359_002,178889.0,2416268.0,> 450 Mbps,450,640,1.4222222222222225
22360_001,224758.95,2399050.94,> 1 Gbps,1000,5969,5.969
22364_001,272750.0,2391610.0,> 450 Mbps,450,1615,3.588888888888889
22371_001,255667.84,2365596.41,> 240 Mbps,240,1133,4.720833333333333
22379_001,182140.0,2438680.0,> 450 Mbps,450,2206,4.902222222222222
22389_002,230947.15,2398932.53,> 1 Gbps,1000,2362,2.362
29004_001,149847.35,2343904.62,> 240 Mbps,240,3258,13.575
29006_001,118335.0,2339580.0,> 240 Mbps,240,4193,17.470833333333335
29007_001,149721.0,2396397.71,> 240 Mbps,240,1028,4.283333333333333
29011_001,93593.0,2404383.0,> 450 Mbps,450,2225,4.944444444444445
29015_003,95669.18,2411790.56,> 450 Mbps,450,1691,3.7577777777777777
29016_001,132628.01,2384646.0,> 240 Mbps,240,1202,5.008333333333334
29019_001,93249.0,2398110.01,> 240 Mbps,240,2049,8.5375
29019_002,95458.0,2399543.05,> 190 Mbps,190,4119,21.678947368421053
29019_004,101198.34,2399474.08,> 1 Gbps,1000,5602,5.602
29019_009,96654.97,2400124.0,> 450 Mbps,450,5626,12.502222222222224
29019_010,93821.06,2398978.95,> 450 Mbps,450,4851,10.78
29019_011,98265.02,2399619.94,> 450 Mbps,450,2107,4.682222222222222
29019_012,94569.99,2400990.0,> 240 Mbps,240,8836,36.81666666666667
29019_013,96435.06,2401269.95,> 450 Mbps,450,4482,9.96
29019_015,94642.88,2399177.69,> 240 Mbps,240,904,3.7666666666666666
29019_016,92422.31,2398614.61,> 450 Mbps,450,6437,14.304444444444444
29019_018,93334.04,2400895.01,> 450 Mbps,450,7824,17.386666666666667
29019_020,97013.98,2399274.03,> 190 Mbps,190,6067,31.931578947368426
29019_026,92112.0,2397852.0,> 240 Mbps,240,7449,31.0375
29019_028,95791.27,2398713.77,> 240 Mbps,240,6109,25.454166666666666
29019_029,94083.04,2398358.42,> 240 Mbps,240,5127,21.3625
29019_030,98094.7,2398685.26,> 1 Gbps,1000,773,0.773
29019_031,95605.21,2401704.96,> 450 Mbps,450,3437,7.637777777777778
29019_033,96054.32,2399241.44,> 450 Mbps,450,2456,5.457777777777777
29019_034,97217.14,2400425.13,> 240 Mbps,240,3834,15.975
29019_036,92027.92,2399985.63,> 450 Mbps,450,1419,3.1533333333333333
29019_038,97534.44,2402071.21,> 450 Mbps,450,1076,2.391111111111111
29020_001,126668.03,2363578.58,> 450 Mbps,450,4046,8.991111111111111
29020_003,126002.01,2369677.0,> 450 Mbps,450,469,1.0422222222222222
29022_001,86850.01,2386220.0,> 450 Mbps,450,2783,6.184444444444445
29024_002,160690.0,2379348.0,> 450 Mbps,450,6156,13.68
29026_001,125058.35,2376418.17,> 450 Mbps,450,2204,4.897777777777778
29027_001,143990.38,2371682.22,> 450 Mbps,450,2688,5.973333333333334
29027_002,142920.0,2373680.0,> 450 Mbps,450,1696,3.7688888888888887
29030_001,125917.19,2427393.72,> 240 Mbps,240,2806,11.691666666666666
29031_001,155380.0,2328157.0,> 450 Mbps,450,5349,11.886666666666668
29035_001,93100.0,2409170.0,> 240 Mbps,240,511,2.129166666666667
