Site,Transmitter Easting,Transmitter northing,nom_reg,nom_dep,insee_dep,nom_com,insee_com,700MHz,800MHz,900MHz,1800MHz,2100MHz,2600MHz,3500MHz,Capacite_theorique,Capacite_th,Site_Population,Population/Capacity
22389_002,230947.15,2398932.53,BRETAGNE,COTES D ARMOR,22,YFFINIAC,22389,4G/5G,,3G,4G,3G,4G,5G,> 1 Gbps,1000,2362,2.362
29004_001,149847.35,2343904.62,BRETAGNE,FINISTERE,29,BANNALEC,29004,4G,,3G,4G,3G,4G,0,> 240 Mbps,240,3258,13.575
29006_001,118335,2339580,BRETAGNE,FINISTERE,29,BENODET,29006,4G,,3G,4G,3G,4G,0,> 240 Mbps,240,4193,17.4708333333333
29007_001,149721,2396397.71,BRETAGNE,FINISTERE,29,BERRIEN,29007,4G,,3G,4G,3G,4G,0,> 240 Mbps,240,1028,4.28333333333333
29011_001,93593,2404383,BRETAGNE,FINISTERE,29,BOHARS,29011,4G/5G,,3G,4G,3G,4G,0,> 450 Mbps,450,2225,4.94444444444444
29015_003,95669.18,2411790.56,BRETAGNE,FINISTERE,29,BOURG BLANC,29015,4G/5G,,3G,4G,3G,4G,0,> 450 Mbps,450,1691,3.75777777777778
29016_001,132628.01,2384646,BRETAGNE,FINISTERE,29,BRASPARTS,29016,4G,,3G,4G,3G,4G,0,> 240 Mbps,240,1202,5.00833333333333
29019_001,93249,2398110.01,BRETAGNE,FINISTERE,29,BREST,29019,4G,,3G,4G,3G,4G,0,> 240 Mbps,240,2049,8.5375
29019_002,95458,2399543.05,BRETAGNE,FINISTERE,29,BREST,29019,0,,3G,0,3G,4G,0,> 190 Mbps,190,4119,21.678947368421
29019_004,101198.34,2399474.08,BRETAGNE,FINISTERE,29,RELECQ KERHUON,29235,4G/5G,,3G,4G,3G,4G,5G,> 1 Gbps,1000,5602,5.602
29019_009,96654.97,2400124,BRETAGNE,FINISTERE,29,BREST,29019,4G/5G,,3G,4G,3G,4G,0,> 450 Mbps,450,5626,12.5022222222222
29019_010,93821.06,2398978.95,BRETAGNE,FINISTERE,29,BREST,29019,4G/5G,,3G,4G,3G,4G,0,> 450 Mbps,450,4851,10.78
29019_011,98265.02,2399619.94,BRETAGNE,FINISTERE,29,BREST,29019,4G/5G,,3G,4G,3G,4G,0,> 450 Mbps,450,2107,4.68222222222222
29019_012,94569.99,2400990,BRETAGNE,FINISTERE,29,BREST,29019,4G,,3G,4G,3G,4G,0,> 240 Mbps,240,8836,36.8166666666667
29019_013,96435.06,2401269.95,BRETAGNE,FINISTERE,29,BREST,29019,4G/5G,,3G,4G,3G,4G,0,> 450 Mbps,450,4482,9.96
29019_015,94642.88,2399177.69,BRETAGNE,FINISTERE,29,BREST,29019,4G,,3G,4G,3G,4G,0,> 240 Mbps,240,904,3.76666666666667
29019_016,92422.31,2398614.61,BRETAGNE,FINISTERE,29,BREST,29019,4G/5G,,3G,4G,3G,4G,0,> 450 Mbps,450,6437,14.3044444444444
29019_018,93334.04,2400895.01,BRETAGNE,FINISTERE,29,BREST,29019,4G/5G,,3G,4G,3G,4G,0,> 450 Mbps,450,7824,17.3866666666667
29019_020,97013.98,2399274.03,BRETAGNE,FINISTERE,29,BREST,29019,0,,3G,0,3G,4G,0,> 190 Mbps,190,6067,31.9315789473684
29019_026,92112,2397852,BRETAGNE,FINISTERE,29,BREST,29019,4G,,3G,4G,3G,4G,0,> 240 Mbps,240,7449,31.0375
29019_028,95791.27,2398713.77,BRETAGNE,FINISTERE,29,BREST,29019,4G,,3G,4G,3G,4G,0,> 240 Mbps,240,6109,25.4541666666667
29019_029,94083.04,2398358.42,BRETAGNE,FINISTERE,29,BREST,29019,4G,,3G,4G,3G,4G,0,> 240 Mbps,240,5127,21.3625
29019_030,98094.7,2398685.26,BRETAGNE,FINISTERE,29,BREST,29019,4G/5G,,3G,4G,3G,4G,5G,> 1 Gbps,1000,773,0.773
29019_031,95605.21,2401704.96,BRETAGNE,FINISTERE,29,BREST,29019,4G/5G,,3G,4G,3G,4G,0,> 450 Mbps,450,3437,7.63777777777778
29019_033,96054.32,2399241.44,BRETAGNE,FINISTERE,29,BREST,29019,4G/5G,,3G,4G,3G,4G,0,> 450 Mbps,450,2456,5.45777777777778
29019_034,97217.14,2400425.13,BRETAGNE,FINISTERE,29,BREST,29019,4G,,3G,4G,3G,4G,0,> 240 Mbps,240,3834,15.975
29019_036,92027.92,2399985.63,BRETAGNE,FINISTERE,29,BREST,29019,4G/5G,,3G,4G,3G,4G,0,> 450 Mbps,450,1419,3.15333333333333
29019_038,97534.44,2402071.21,BRETAGNE,FINISTERE,29,BREST,29019,4G/5G,,3G,4G,3G,4G,0,> 450 Mbps,450,1076,2.39111111111111
29020_001,126668.03,2363578.58,BRETAGNE,FINISTERE,29,BRIEC,29020,4G/5G,,3G,4G,3G,4G,0,> 450 Mbps,450,4046,8.99111111111111
29020_003,126002.01,2369677,BRETAGNE,FINISTERE,29,BRIEC,29020,4G/5G,,3G,4G,3G,4G,0,> 450 Mbps,450,469,1.04222222222222
29022_001,86850.01,2386220,BRETAGNE,FINISTERE,29,CAMARET SUR MER,29022,4G/5G,,3G,4G,3G,4G,0,> 450 Mbps,450,2783,6.18444444444445
29024_002,160690,2379348,BRETAGNE,FINISTERE,29,CARHAIX PLOUGUER,29024,4G/5G,,3G,4G,3G,4G,0,> 450 Mbps,450,6156,13.68
29026_001,125058.35,2376418.17,BRETAGNE,FINISTERE,29,CHATEAULIN,29026,4G/5G,,3G,4G,3G,4G,0,> 450 Mbps,450,2204,4.89777777777778
29027_001,143990.38,2371682.22,BRETAGNE,FINISTERE,29,CHATEAUNEUF DU FAOU,29027,4G/5G,,3G,4G,3G,4G,0,> 450 Mbps,450,2688,5.97333333333333
29027_002,142920,2373680,BRETAGNE,FINISTERE,29,CHATEAUNEUF DU FAOU,29027,4G/5G,,3G,4G,3G,4G,0,> 450 Mbps,450,1696,3.76888888888889
29030_001,125917.19,2427393.72,BRETAGNE,FINISTERE,29,CLEDER,29030,4G,,3G,4G,3G,4G,0,> 240 Mbps,240,2806,11.6916666666667
29031_001,155380,2328157,BRETAGNE,FINISTERE,29,MOELAN SUR MER,29150,4G/5G,,3G,4G,3G,4G,0,> 450 Mbps,450,5349,11.8866666666667
29035_001,93100,2409170,BRETAGNE,FINISTERE,29,COAT MEAL,29035,4G,,3G,4G,3G,4G,0,> 240 Mbps,240,511,2.12916666666667
29037_001,114154,2340419,BRETAGNE,FINISTERE,29,COMBRIT,29037,4G,,3G,4G,3G,4G,0,> 240 Mbps,240,4860,20.25
29037_002,116537,2339600,BRETAGNE,FINISTERE,29,COMBRIT,29037,4G/5G,,3G,4G,3G,4G,0,> 450 Mbps,450,1318,2.92888888888889
29039_001,132691.03,2338891.96,BRETAGNE,FINISTERE,29,CONCARNEAU,29039,4G,,3G,4G,3G,4G,0,> 240 Mbps,240,11285,47.0208333333333
29039_006,134770.98,2344303.91,BRETAGNE,FINISTERE,29,CONCARNEAU,29039,4G/5G,,3G,4G,3G,4G,0,> 450 Mbps,450,870,1.93333333333333
29039_008,132224,2343290,BRETAGNE,FINISTERE,29,CONCARNEAU,29039,4G,,3G,4G,3G,4G,0,> 240 Mbps,240,386,1.60833333333333
29039_010,133330,2341160,BRETAGNE,FINISTERE,29,CONCARNEAU,29039,4G,,3G,4G,3G,4G,0,> 240 Mbps,240,1565,6.52083333333333
29040_002,73147.35,2396675.07,BRETAGNE,FINISTERE,29,CONQUET,29040,4G/5G,,3G,4G,3G,4G,0,> 450 Mbps,450,2067,4.59333333333333
29041_001,141340,2358990,BRETAGNE,FINISTERE,29,CORAY,29041,4G,,3G,4G,3G,4G,0,> 240 Mbps,240,3441,14.3375
29042_004,93189,2382966,BRETAGNE,FINISTERE,29,CROZON,29042,4G/5G,,3G,4G,3G,4G,0,> 450 Mbps,450,5486,12.1911111111111
29042_008,91112.1,2380808.72,BRETAGNE,FINISTERE,29,CROZON,29042,4G/5G,,3G,4G,3G,4G,0,> 450 Mbps,450,1401,3.11333333333333
29044_002,120080.35,2375337.95,BRETAGNE,FINISTERE,29,DINEAULT,29044,4G/5G,,3G,4G,3G,4G,0,> 450 Mbps,450,3683,8.18444444444445
29046_001,102095.57,2363764.44,BRETAGNE,FINISTERE,29,DOUARNENEZ,29046,4G,,3G,4G,3G,4G,0,> 240 Mbps,240,13412,55.8833333333333
29049_001,136737.17,2350773.37,BRETAGNE,FINISTERE,29,ELLIANT,29049,4G/5G,,3G,4G,3G,4G,0,> 450 Mbps,450,2570,5.71111111111111
29051_003,126310,2353700,BRETAGNE,FINISTERE,29,ERGUE GABERIC,29051,4G,,3G,4G,3G,4G,0,> 240 Mbps,240,2781,11.5875
29051_004,124005,2353420,BRETAGNE,FINISTERE,29,ERGUE GABERIC,29051,4G/5G,,3G,4G,3G,4G,0,> 450 Mbps,450,2638,5.86222222222222
29056_002,107588.78,2402211.71,BRETAGNE,FINISTERE,29,FOREST LANDERNEAU,29056,4G/5G,,3G,4G,3G,4G,0,> 450 Mbps,450,2119,4.70888888888889
29057_002,130034,2342600,BRETAGNE,FINISTERE,29,FORET FOUESNANT,29057,4G/5G,,3G,4G,3G,4G,0,> 450 Mbps,450,2971,6.60222222222222
29058_002,125750,2337420,BRETAGNE,FINISTERE,29,FOUESNANT,29058,4G/5G,,3G,4G,3G,4G,0,> 450 Mbps,450,2864,6.36444444444444
29058_003,124790,2340427,BRETAGNE,FINISTERE,29,FOUESNANT,29058,4G/5G,,3G,4G,3G,4G,0,> 450 Mbps,450,5107,11.3488888888889
29060_001,120801,2344655.96,BRETAGNE,FINISTERE,29,GOUESNACH,29060,4G/5G,,3G,4G,3G,4G,0,> 450 Mbps,450,2081,4.62444444444444
29061_001,97698.02,2402969.98,BRETAGNE,FINISTERE,29,GOUESNOU,29061,4G/5G,,3G,4G,3G,4G,5G,> 1 Gbps,1000,1408,1.408
29061_002,96465.03,2406084.97,BRETAGNE,FINISTERE,29,GOUESNOU,29061,4G/5G,,3G,4G,3G,4G,5G,> 1 Gbps,1000,3335,3.335
29066_002,112650.01,2359050,BRETAGNE,FINISTERE,29,GUENGAT,29066,4G/5G,,3G,4G,3G,4G,0,> 450 Mbps,450,1311,2.91333333333333
29067_001,161833.83,2407618.34,BRETAGNE,FINISTERE,29,GUERLESQUIN,29067,4G,,3G,4G,3G,4G,0,> 240 Mbps,240,1211,5.04583333333333
29069_001,90434.96,2403306.67,BRETAGNE,FINISTERE,29,GUILERS,29069,4G,,3G,4G,3G,4G,0,> 240 Mbps,240,4373,18.2208333333333
29071_001,170662.45,2342645.72,BRETAGNE,FINISTERE,29,GUILLIGOMARC H,29071,4G/5G,,3G,4G,3G,4G,0,> 450 Mbps,450,923,2.05111111111111
29075_003,102863.04,2401596.05,BRETAGNE,FINISTERE,29,GUIPAVAS,29075,4G/5G,,3G,4G,3G,4G,0,> 450 Mbps,450,5580,12.4
29078_001,115847.01,2387723.98,BRETAGNE,FINISTERE,29,HANVEC,29078,4G/5G,,3G,4G,3G,4G,0,> 450 Mbps,450,1909,4.24222222222222
29080_001,113816.71,2390312.9,BRETAGNE,FINISTERE,29,HOPITAL CAMFROUT,29080,4G/5G,,3G,4G,3G,4G,0,> 450 Mbps,450,1465,3.25555555555556
29086_001,112607.96,2394218.98,BRETAGNE,FINISTERE,29,IRVILLAC,29086,4G/5G,,3G,4G,3G,4G,0,> 450 Mbps,450,2687,5.97111111111111
29091_001,106310.04,2427117.82,BRETAGNE,FINISTERE,29,KERLOUAN,29091,4G,,3G,4G,3G,4G,0,> 240 Mbps,240,3770,15.7083333333333
29097_002,127410,2407471,BRETAGNE,FINISTERE,29,LAMPAUL GUIMILIAU,29097,4G/5G,,3G,4G,3G,4G,0,> 450 Mbps,450,3203,7.11777777777778
29101_001,91115.92,2421145.31,BRETAGNE,FINISTERE,29,LANDEDA,29101,4G,,3G,4G,3G,4G,0,> 240 Mbps,240,3311,13.7958333333333
29102_002,151509.29,2377595.51,BRETAGNE,FINISTERE,29,LANDELEAU,29102,4G/5G,,3G,4G,3G,4G,0,> 450 Mbps,450,2167,4.81555555555556
29103_001,112375.97,2404964.03,BRETAGNE,FINISTERE,29,LANDERNEAU,29103,4G,,3G,4G,3G,4G,0,> 240 Mbps,240,7491,31.2125
29103_002,114193,2403138,BRETAGNE,FINISTERE,29,LANDERNEAU,29103,4G,,3G,4G,3G,4G,0,> 240 Mbps,240,4434,18.475
29105_001,128379.29,2410059.97,BRETAGNE,FINISTERE,29,LANDIVISIAU,29105,4G/5G,,3G,4G,3G,4G,0,> 450 Mbps,450,2535,5.63333333333333
29105_003,126420,2409995,BRETAGNE,FINISTERE,29,LANDIVISIAU,29105,4G/5G,,3G,4G,3G,4G,0,> 450 Mbps,450,2572,5.71555555555556
29113_001,153725.08,2421856.48,BRETAGNE,FINISTERE,29,LANMEUR,29113,4G/5G,,3G,4G,3G,4G,0,> 450 Mbps,450,5170,11.4888888888889
29117_001,95423.15,2418950.08,BRETAGNE,FINISTERE,29,LANNILIS,29117,4G/5G,,3G,4G,3G,4G,0,> 450 Mbps,450,3380,7.51111111111111
29124_003,108780,2418648,BRETAGNE,FINISTERE,29,LESNEVEN,29124,4G,,3G,4G,3G,4G,0,> 240 Mbps,240,7641,31.8375
29130_001,83410,2396440,BRETAGNE,FINISTERE,29,LOCMARIA PLOUZANE,29130,4G,,3G,4G,3G,4G,0,> 240 Mbps,240,3878,16.1583333333333
29135_001,113209,2334294.96,BRETAGNE,FINISTERE,29,LOCTUDY,29135,4G/5G,,3G,4G,3G,4G,0,> 450 Mbps,450,3490,7.75555555555556
29137_001,109280,2390750,BRETAGNE,FINISTERE,29,LOGONNA DAOULAS,29137,4G,,3G,4G,3G,4G,0,> 240 Mbps,240,2010,8.375
29140_002,108220,2397780,BRETAGNE,FINISTERE,29,LOPERHET,29140,4G/5G,,3G,4G,3G,4G,0,> 450 Mbps,450,2098,4.66222222222222
29146_002,141651.03,2339392.46,BRETAGNE,FINISTERE,29,MELGVEN,29146,4G/5G,,3G,4G,3G,4G,0,> 450 Mbps,450,729,1.62
29146_004,137725,2340925,BRETAGNE,FINISTERE,29,MELGVEN,29146,4G,,3G,4G,3G,4G,0,> 240 Mbps,240,1241,5.17083333333333
29149_003,90614.12,2407975.13,BRETAGNE,FINISTERE,29,MILIZAC GUIPRONVEL,29076,4G/5G,,3G,4G,3G,4G,0,> 450 Mbps,450,1476,3.28
29150_001,150037.3,2328745.38,BRETAGNE,FINISTERE,29,MOELAN SUR MER,29150,4G/5G,,3G,4G,3G,4G,0,> 450 Mbps,450,3791,8.42444444444445
29151_001,145542.77,2415692.18,BRETAGNE,FINISTERE,29,MORLAIX,29151,4G/5G,,3G,4G,3G,4G,0,> 450 Mbps,450,7458,16.5733333333333
29151_004,146430,2416880,BRETAGNE,FINISTERE,29,MORLAIX,29151,4G,,3G,4G,3G,4G,0,> 240 Mbps,240,1374,5.725
29153_001,141320,2331700,BRETAGNE,FINISTERE,29,NEVEZ,29153,4G/5G,,3G,4G,3G,4G,0,> 450 Mbps,450,2096,4.65777777777778
29158_009,102940,2334040,BRETAGNE,FINISTERE,29,PENMARCH,29158,4G,,3G,4G,3G,4G,0,> 240 Mbps,240,5205,21.6875
29160_004,100971.02,2410963,BRETAGNE,FINISTERE,29,PLABENNEC,29160,4G/5G,,3G,4G,3G,4G,0,> 450 Mbps,450,4602,10.2266666666667
29161_001,122460.12,2343003.86,BRETAGNE,FINISTERE,29,PLEUVEN,29161,4G,,3G,4G,3G,4G,0,> 240 Mbps,240,2350,9.79166666666667
29162_001,132879,2377335,BRETAGNE,FINISTERE,29,PLEYBEN,29162,4G/5G,,3G,4G,3G,4G,0,> 450 Mbps,450,2760,6.13333333333333
29163_001,141092.26,2408324.55,BRETAGNE,FINISTERE,29,PLEYBER CHRIST,29163,4G/5G,,3G,4G,3G,4G,0,> 450 Mbps,450,1822,4.04888888888889
29165_001,108970,2332225,BRETAGNE,FINISTERE,29,PLOBANNALEC LESCONIL,29165,4G,,3G,4G,3G,4G,0,> 240 Mbps,240,3512,14.6333333333333
29167_001,104330,2350160,BRETAGNE,FINISTERE,29,PLOGASTEL SAINT GERMAIN,29167,4G,,3G,4G,3G,4G,0,> 240 Mbps,240,661,2.75416666666667
29167_003,106851.11,2352949.79,BRETAGNE,FINISTERE,29,PLOGASTEL SAINT GERMAIN,29167,4G/5G,,3G,4G,3G,4G,0,> 450 Mbps,450,1081,2.40222222222222
29168_001,78770,2360350,BRETAGNE,FINISTERE,29,PLOGOFF,29168,4G,,3G,4G,3G,4G,0,> 240 Mbps,240,2507,10.4458333333333
29169_001,114236.06,2363639.53,BRETAGNE,FINISTERE,29,PLOGONNEC,29169,4G/5G,,3G,4G,3G,4G,0,> 450 Mbps,450,1215,2.7
29170_001,116505,2349660,BRETAGNE,FINISTERE,29,PLOMELIN,29170,4G,,3G,4G,3G,4G,0,> 240 Mbps,240,1565,6.52083333333333
29173_001,110645.04,2356221.66,BRETAGNE,FINISTERE,29,PLONEIS,29173,4G/5G,,3G,4G,3G,4G,0,> 450 Mbps,450,1706,3.79111111111111
29174_002,104975,2345120,BRETAGNE,FINISTERE,29,PLONEOUR LANVERN,29174,4G/5G,,3G,4G,3G,4G,0,> 450 Mbps,450,2045,4.54444444444444
29174_003,106649,2342857,BRETAGNE,FINISTERE,29,PLONEOUR LANVERN,29174,4G/5G,,3G,4G,3G,4G,0,> 450 Mbps,450,5230,11.6222222222222
29175_001,143157,2378751,BRETAGNE,FINISTERE,29,PLONEVEZ DU FAOU,29175,4G/5G,,3G,4G,3G,4G,0,> 450 Mbps,450,1833,4.07333333333333
29176_002,112544,2368204,BRETAGNE,FINISTERE,29,PLONEVEZ PORZAY,29176,4G/5G,,3G,4G,3G,4G,0,> 450 Mbps,450,3763,8.36222222222222
29177_001,77360.26,2407028.55,BRETAGNE,FINISTERE,29,PLOUARZEL,29177,4G/5G,,3G,4G,3G,4G,0,> 450 Mbps,450,3734,8.29777777777778
29178_001,83702.12,2415200.66,BRETAGNE,FINISTERE,29,PLOUDALMEZEAU,29178,4G,,3G,4G,3G,4G,0,> 240 Mbps,240,2866,11.9416666666667
29178_002,81594.19,2418306.24,BRETAGNE,FINISTERE,29,PLOUDALMEZEAU,29178,4G,,3G,4G,3G,4G,0,> 240 Mbps,240,3136,13.0666666666667
29179_001,110093,2413488,BRETAGNE,FINISTERE,29,PLOUDANIEL,29179,4G,,3G,4G,3G,4G,0,> 240 Mbps,240,1655,6.89583333333333
29179_002,105963,2414110,BRETAGNE,FINISTERE,29,PLOUDANIEL,29179,4G,,3G,4G,3G,4G,0,> 240 Mbps,240,1920,8
29181_001,112786.02,2407630.01,BRETAGNE,FINISTERE,29,PLOUEDERN,29181,0,,3G,0,3G,0,0,> 14 Mbps,14,3421,244.357142857143
29183_001,161724.61,2412132.55,BRETAGNE,FINISTERE,29,PLOUEGAT MOYSAN,29183,4G,,3G,4G,3G,4G,0,> 240 Mbps,240,805,3.35416666666667
29184_001,133913.04,2422622.05,BRETAGNE,FINISTERE,29,PLOUENAN,29184,4G/5G,,3G,4G,3G,4G,0,> 450 Mbps,450,3150,7
29185_001,119814.18,2426950.52,BRETAGNE,FINISTERE,29,PLOUESCAT,29185,4G/5G,,3G,4G,3G,4G,0,> 450 Mbps,450,2634,5.85333333333333
29189_004,99230.72,2394614.45,BRETAGNE,FINISTERE,29,PLOUGASTEL DAOULAS,29189,4G/5G,,3G,4G,3G,4G,0,> 450 Mbps,450,2012,4.47111111111111
29189_005,104483,2395767,BRETAGNE,FINISTERE,29,PLOUGASTEL DAOULAS,29189,4G,,3G,4G,3G,4G,0,> 240 Mbps,240,4091,17.0458333333333
29189_007,103065.4,2397203.1,BRETAGNE,FINISTERE,29,PLOUGASTEL DAOULAS,29189,4G/5G,,3G,4G,3G,4G,5G,> 1 Gbps,1000,2854,2.854
29190_001,77347.85,2395892.37,BRETAGNE,FINISTERE,29,PLOUGONVELIN,29190,4G/5G,,3G,4G,3G,4G,0,> 450 Mbps,450,3563,7.91777777777778
29191_001,152890.51,2409165.18,BRETAGNE,FINISTERE,29,PLOUGONVEN,29191,4G/5G,,3G,4G,3G,4G,0,> 450 Mbps,450,2406,5.34666666666667
29195_002,96590.01,2422780,BRETAGNE,FINISTERE,29,PLOUGUERNEAU,29195,4G,,3G,4G,3G,4G,0,> 240 Mbps,240,3302,13.7583333333333
29196_001,87669.66,2414454.76,BRETAGNE,FINISTERE,29,PLOUGUIN,29196,4G,,3G,4G,3G,4G,0,> 240 Mbps,240,1599,6.6625
29197_002,88933.25,2357956.88,BRETAGNE,FINISTERE,29,PLOUHINEC,29197,0,,3G,4G,3G,4G,0,> 240 Mbps,240,6329,26.3708333333333
29197_003,92153.3,2359101.46,BRETAGNE,FINISTERE,29,PLOUHINEC,29197,4G/5G,,3G,4G,3G,4G,0,> 450 Mbps,450,2804,6.23111111111111
29198_001,111600,2421100,BRETAGNE,FINISTERE,29,PLOUIDER,29198,4G,,3G,4G,3G,4G,0,> 240 Mbps,240,1746,7.275
29199_002,156715.63,2414141.89,BRETAGNE,FINISTERE,29,PLOUIGNEAU,29199,4G/5G,,3G,4G,3G,4G,0,> 450 Mbps,450,1403,3.11777777777778
29199_003,149840,2415418,BRETAGNE,FINISTERE,29,PLOUIGNEAU,29199,4G/5G,,3G,4G,3G,4G,0,> 450 Mbps,450,1876,4.16888888888889
29201_001,78402,2402154,BRETAGNE,FINISTERE,29,PLOUMOGUER,29201,4G,,3G,4G,3G,4G,0,> 240 Mbps,240,1387,5.77916666666667
29202_001,139460.84,2397637.1,BRETAGNE,FINISTERE,29,PLOUNEOUR MENEZ,29202,4G/5G,,3G,4G,3G,4G,0,> 450 Mbps,450,2029,4.50888888888889
29206_001,117033,2422554,BRETAGNE,FINISTERE,29,PLOUNEVEZ LOCHRIST,29206,4G,,3G,4G,3G,4G,0,> 240 Mbps,240,2214,9.225
29207_002,145773.37,2413659.51,BRETAGNE,FINISTERE,29,PLOURIN LES MORLAIX,29207,4G/5G,,3G,4G,3G,4G,0,> 450 Mbps,450,2164,4.80888888888889
29207_005,148355.68,2410422.06,BRETAGNE,FINISTERE,29,PLOURIN LES MORLAIX,29207,4G/5G,,3G,4G,3G,4G,0,> 450 Mbps,450,1765,3.92222222222222
29209_001,97989.62,2414199.38,BRETAGNE,FINISTERE,29,PLOUVIEN,29209,4G/5G,,3G,4G,3G,4G,0,> 450 Mbps,450,2181,4.84666666666667
29210_001,129136,2416819.01,BRETAGNE,FINISTERE,29,PLOUVORN,29210,4G/5G,,3G,4G,3G,4G,0,> 450 Mbps,450,2869,6.37555555555556
29211_001,149195,2389611,BRETAGNE,FINISTERE,29,PLOUYE,29211,4G,,3G,4G,3G,4G,0,> 240 Mbps,240,2000,8.33333333333333
29212_004,86615,2399335,BRETAGNE,FINISTERE,29,PLOUZANE,29212,4G/5G,,3G,4G,3G,4G,0,> 450 Mbps,450,2541,5.64666666666667
29212_005,88493,2397945,BRETAGNE,FINISTERE,29,PLOUZANE,29212,4G/5G,,3G,4G,3G,4G,0,> 450 Mbps,450,3713,8.25111111111111
29213_001,124325.66,2419789.01,BRETAGNE,FINISTERE,29,PLOUZEVEDE,29213,4G,,3G,4G,3G,4G,0,> 240 Mbps,240,2969,12.3708333333333
29215_001,95200,2353980,BRETAGNE,FINISTERE,29,PLOZEVET,29215,4G,,3G,4G,3G,4G,0,> 240 Mbps,240,2489,10.3708333333333
29215_002,102669.56,2354376.44,BRETAGNE,FINISTERE,29,LANDUDEC,29108,4G,,3G,4G,3G,4G,0,> 240 Mbps,240,1624,6.76666666666667
29216_003,113100,2351870,BRETAGNE,FINISTERE,29,PLUGUFFAN,29216,4G/5G,,3G,4G,3G,4G,0,> 450 Mbps,450,1710,3.8
29216_004,113438.46,2347557.59,BRETAGNE,FINISTERE,29,PLUGUFFAN,29216,4G/5G,,3G,4G,3G,4G,0,> 450 Mbps,450,2074,4.60888888888889
29217_001,145233.05,2335334.76,BRETAGNE,FINISTERE,29,PONT AVEN,29217,4G/5G,,3G,4G,3G,4G,0,> 450 Mbps,450,3492,7.76
29221_001,77686,2411155,BRETAGNE,FINISTERE,29,PORSPODER,29221,4G/5G,,3G,4G,3G,4G,0,> 450 Mbps,450,1794,3.98666666666667
29221_003,76725.18,2413010.96,BRETAGNE,FINISTERE,29,PORSPODER,29221,4G/5G,,3G,4G,3G,4G,0,> 450 Mbps,450,2064,4.58666666666667
29225_001,100516.05,2351223.74,BRETAGNE,FINISTERE,29,POULDREUZIC,29225,4G/5G,,3G,4G,3G,4G,0,> 450 Mbps,450,1861,4.13555555555556
29227_001,157516.07,2387959.47,BRETAGNE,FINISTERE,29,POULLAOUEN,29227,4G/5G,,3G,4G,3G,4G,0,> 450 Mbps,450,1901,4.22444444444444
29229_001,118500,2366505,BRETAGNE,FINISTERE,29,QUEMENEVEN,29229,4G,,3G,4G,3G,4G,0,> 240 Mbps,240,1560,6.5
29230_002,162109.59,2345463.97,BRETAGNE,FINISTERE,29,QUERRIEN,29230,4G/5G,,3G,4G,3G,4G,0,> 450 Mbps,450,1352,3.00444444444444
29232_003,121333.51,2355014.15,BRETAGNE,FINISTERE,29,QUIMPER,29232,4G/5G,,3G,4G,3G,4G,0,> 450 Mbps,450,2799,6.22
29232_011,121646.82,2350153.8,BRETAGNE,FINISTERE,29,QUIMPER,29232,0,,3G,0,3G,0,0,> 14 Mbps,14,2651,189.357142857143
29232_014,118109,2351672,BRETAGNE,FINISTERE,29,QUIMPER,29232,4G/5G,,3G,4G,3G,4G,0,> 450 Mbps,450,11182,24.8488888888889
29232_016,120667,2351680,BRETAGNE,FINISTERE,29,QUIMPER,29232,4G/5G,,3G,4G,3G,4G,0,> 450 Mbps,450,7991,17.7577777777778
29232_026,122835.39,2357321.07,BRETAGNE,FINISTERE,29,QUIMPER,29232,4G/5G,,3G,4G,3G,4G,0,> 450 Mbps,450,1000,2.22222222222222
29232_028,121718,2352651,BRETAGNE,FINISTERE,29,QUIMPER,29232,4G,,3G,4G,3G,4G,0,> 240 Mbps,240,4186,17.4416666666667
29232_033,117645,2352890,BRETAGNE,FINISTERE,29,QUIMPER,29232,4G,,3G,4G,3G,4G,0,> 240 Mbps,240,8040,33.5
29232_039,125105.19,2350732.37,BRETAGNE,FINISTERE,29,QUIMPER,29232,4G/5G,,3G,4G,3G,4G,0,> 450 Mbps,450,1824,4.05333333333333
29232_048,117973.11,2356325.51,BRETAGNE,FINISTERE,29,QUIMPER,29232,4G/5G,,3G,4G,3G,4G,0,> 450 Mbps,450,3530,7.84444444444444
29233_001,159858.06,2334682.66,BRETAGNE,FINISTERE,29,QUIMPERLE,29233,4G/5G,,3G,4G,3G,4G,0,> 450 Mbps,450,2681,5.95777777777778
29233_002,160299.01,2335270,BRETAGNE,FINISTERE,29,QUIMPERLE,29233,4G/5G,,3G,4G,3G,4G,0,> 450 Mbps,450,4774,10.6088888888889
29234_001,165674.99,2334382.97,BRETAGNE,FINISTERE,29,REDENE,29234,4G/5G,,3G,4G,3G,4G,0,> 450 Mbps,450,935,2.07777777777778
29234_003,163267.94,2332149.19,BRETAGNE,FINISTERE,29,REDENE,29234,4G/5G,,3G,4G,3G,4G,0,> 450 Mbps,450,954,2.12
29236_002,153277.17,2336667.95,BRETAGNE,FINISTERE,29,RIEC SUR BELON,29236,4G,,3G,4G,3G,4G,0,> 240 Mbps,240,2571,10.7125
29239_001,136206.06,2432291.71,BRETAGNE,FINISTERE,29,ROSCOFF,29239,4G/5G,,3G,4G,3G,4G,0,> 450 Mbps,450,3230,7.17777777777778
