Site,Transmitter Easting,Transmitter northing,nom_reg,nom_dep,insee_dep,nom_com,insee_com,700MHz,800MHz,900MHz,1800MHz,2100MHz,2600MHz,3500MHz,Capacite_theorique,Capacite_th,Site_Population,Population/Capacity
22106_002,226208.67,2400386.55,BRETAGNE,COTES D ARMOR,22,LANGUEUX,22106,4G,,3G,4G,3G,4G,0,> 240 Mbps,240,2804,11.6833333333333
22106_004,228696.67,2399262.53,BRETAGNE,COTES D ARMOR,22,LANGUEUX,22106,4G/5G,,3G,4G,3G,4G,0,> 450 Mbps,450,3658,8.12888888888889
22113_001,172607.42,2429959.14,BRETAGNE,COTES D ARMOR,22,LANNION,22113,4G/5G,,3G,4G,3G,4G,0,> 450 Mbps,450,5800,12.8888888888889
22113_006,170554,2433038,BRETAGNE,COTES D ARMOR,22,LANNION,22113,4G/5G,,3G,4G,3G,4G,0,> 450 Mbps,450,943,2.09555555555556
22113_008,173118,2434911,BRETAGNE,COTES D ARMOR,22,LANNION,22113,4G/5G,,3G,4G,3G,4G,0,> 450 Mbps,450,953,2.11777777777778
22113_009,173805.96,2432505.39,BRETAGNE,COTES D ARMOR,22,LANNION,22113,4G/5G,,3G,4G,3G,4G,0,> 450 Mbps,450,2299,5.10888888888889
22113_010,174207.66,2430515.62,BRETAGNE,COTES D ARMOR,22,LANNION,22113,4G,,3G,4G,3G,4G,0,> 240 Mbps,240,3440,14.3333333333333
22113_011,175332.17,2430768.16,BRETAGNE,COTES D ARMOR,22,LANNION,22113,4G/5G,,3G,4G,3G,4G,0,> 450 Mbps,450,2268,5.04
22117_001,213540.36,2412329.85,BRETAGNE,COTES D ARMOR,22,LANTIC,22117,4G,,3G,4G,3G,4G,0,> 240 Mbps,240,1784,7.43333333333333
22118_002,278669.8,2390866.71,BRETAGNE,COTES D ARMOR,22,CHAMPS GERAUX,22035,4G/5G,,3G,4G,3G,4G,5G,> 1 Gbps,1000,2515,2.515
22121_001,207803,2418012,BRETAGNE,COTES D ARMOR,22,LANVOLLON,22121,4G/5G,,3G,4G,3G,4G,0,> 450 Mbps,450,7584,16.8533333333333
22122_001,238883.16,2366171.45,BRETAGNE,COTES D ARMOR,22,LAURENAN,22122,4G/5G,,3G,4G,3G,4G,0,> 450 Mbps,450,872,1.93777777777778
22123_001,274109.22,2391688.26,BRETAGNE,COTES D ARMOR,22,DINAN,22050,4G/5G,,3G,4G,3G,4G,0,> 450 Mbps,450,11147,24.7711111111111
22127_001,199824.85,2435566.06,BRETAGNE,COTES D ARMOR,22,LEZARDRIEUX,22127,4G/5G,,3G,4G,3G,4G,0,> 450 Mbps,450,3851,8.55777777777778
22131_001,170025,2407910,BRETAGNE,COTES D ARMOR,22,LOGUIVY PLOUGRAS,22131,4G,,3G,4G,3G,4G,0,> 240 Mbps,240,678,2.825
22134_001,178799.17,2436487.71,BRETAGNE,COTES D ARMOR,22,LOUANNEC,22134,4G/5G,,3G,4G,3G,4G,0,> 450 Mbps,450,4273,9.49555555555556
22135_003,182478.67,2411359.14,BRETAGNE,COTES D ARMOR,22,LOUARGAT,22135,4G,,3G,4G,3G,4G,0,> 240 Mbps,240,1473,6.1375
22136_001,221553.53,2365352.14,BRETAGNE,COTES D ARMOR,22,LOUDEAC,22136,4G,,3G,4G,3G,4G,0,> 240 Mbps,240,5480,22.8333333333333
22136_002,220388,2363137,BRETAGNE,COTES D ARMOR,22,LOUDEAC,22136,4G,,3G,4G,3G,4G,0,> 240 Mbps,240,2439,10.1625
22140_002,242473.76,2389263.78,BRETAGNE,COTES D ARMOR,22,MALHOURE,22140,4G/5G,,3G,4G,3G,4G,0,> 450 Mbps,450,1874,4.16444444444444
22143_001,259678,2409450,BRETAGNE,COTES D ARMOR,22,MATIGNON,22143,4G/5G,,3G,4G,3G,4G,0,> 450 Mbps,450,1431,3.18
22147_001,246587.28,2365984.67,BRETAGNE,COTES D ARMOR,22,MERDRIGNAC,22147,4G/5G,,3G,4G,3G,4G,0,> 450 Mbps,450,1673,3.71777777777778
22155_001,221470.66,2372400.24,BRETAGNE,COTES D ARMOR,22,MOTTE,22155,4G/5G,,3G,4G,3G,4G,0,> 450 Mbps,450,2362,5.24888888888889
22158_001,203622.05,2370419.02,BRETAGNE,COTES D ARMOR,22,GUERLEDAN,22158,4G/5G,,3G,4G,3G,4G,0,> 450 Mbps,450,693,1.54
22158_002,206422.37,2368337.41,BRETAGNE,COTES D ARMOR,22,GUERLEDAN,22158,4G/5G,,3G,4G,3G,4G,0,> 450 Mbps,450,1637,3.63777777777778
22161_001,196429.83,2410542.17,BRETAGNE,COTES D ARMOR,22,SAINT AGATHON,22272,4G/5G,,3G,4G,3G,4G,5G,> 1 Gbps,1000,2549,2.549
22162_001,204900.35,2431375.12,BRETAGNE,COTES D ARMOR,22,PAIMPOL,22162,4G,,3G,4G,3G,4G,0,> 240 Mbps,240,8876,36.9833333333333
22163_001,170065.99,2378621.81,BRETAGNE,COTES D ARMOR,22,PAULE,22163,4G/5G,,3G,4G,3G,4G,0,> 450 Mbps,450,2494,5.54222222222222
22163_002,169504.7,2373273.48,BRETAGNE,COTES D ARMOR,22,PAULE,22163,4G/5G,,3G,4G,3G,4G,0,> 450 Mbps,450,1643,3.65111111111111
22164_001,188081.71,2412662.29,BRETAGNE,COTES D ARMOR,22,PEDERNEC,22164,4G,,3G,4G,3G,4G,0,> 240 Mbps,240,1409,5.87083333333333
22166_001,185475,2438997,BRETAGNE,COTES D ARMOR,22,PENVENAN,22166,4G/5G,,3G,4G,3G,4G,0,> 450 Mbps,450,3494,7.76444444444444
22168_002,173514.87,2438606.68,BRETAGNE,COTES D ARMOR,22,PERROS GUIREC,22168,4G/5G,,3G,4G,3G,4G,0,> 450 Mbps,450,6276,13.9466666666667
22171_001,218205.26,2391427.9,BRETAGNE,COTES D ARMOR,22,PLAINTEL,22171,4G/5G,,3G,4G,3G,4G,0,> 450 Mbps,450,1764,3.92
22171_002,219405.46,2394011.99,BRETAGNE,COTES D ARMOR,22,PLAINTEL,22171,4G/5G,,3G,4G,3G,4G,0,> 450 Mbps,450,2051,4.55777777777778
22172_003,262565,2400350,BRETAGNE,COTES D ARMOR,22,PLANCOET,22172,0,,3G,4G,3G,4G,0,> 240 Mbps,240,4657,19.4041666666667
22176_001,223750,2394900,BRETAGNE,COTES D ARMOR,22,PLEDRAN,22176,4G/5G,,3G,4G,3G,4G,0,> 450 Mbps,450,2965,6.58888888888889
22176_003,227765.09,2394398.77,BRETAGNE,COTES D ARMOR,22,QUESSOY,22258,4G/5G,,3G,4G,3G,4G,0,> 450 Mbps,450,1041,2.31333333333333
22179_002,250592.57,2415227.63,BRETAGNE,COTES D ARMOR,22,FREHEL,22179,4G,,3G,4G,3G,4G,0,> 240 Mbps,240,798,3.325
22179_004,252715.62,2413174.84,BRETAGNE,COTES D ARMOR,22,FREHEL,22179,4G/5G,,3G,4G,3G,4G,0,> 450 Mbps,450,2104,4.67555555555556
22179_006,258033.28,2416970.67,BRETAGNE,COTES D ARMOR,22,PLEVENON,22201,4G/5G,,3G,4G,3G,4G,0,> 450 Mbps,450,783,1.74
22180_004,262134.4,2390022.16,BRETAGNE,COTES D ARMOR,22,PLELAN LE PETIT,22180,4G/5G,,3G,4G,3G,4G,0,> 450 Mbps,450,1355,3.01111111111111
22182_001,209018.98,2406523,BRETAGNE,COTES D ARMOR,22,PLELO,22182,4G,,3G,4G,3G,4G,0,> 240 Mbps,240,3652,15.2166666666667
22184_001,230010,2382700,BRETAGNE,COTES D ARMOR,22,PLEMY,22184,4G,,3G,4G,3G,4G,0,> 240 Mbps,240,1462,6.09166666666667
22186_001,239196.69,2409755.32,BRETAGNE,COTES D ARMOR,22,PLENEUF VAL ANDRE,22186,4G/5G,,3G,4G,3G,4G,0,> 450 Mbps,450,4484,9.96444444444444
