fid,INSEE_COM,NOM_COM,IRIS,CODE_IRIS,NOM_IRIS,TYP_IRIS,mapped,pop_cov,area_cov
1700,56197,Le Roc-Saint-André,0,561970000,Le Roc-Saint-André,Z,1699,0.8239,0.8364
1701,56198,Rohan,0,561980000,Rohan,Z,1700,0.8935,0.9157
1702,56199,Roudouallec,0,561990000,Roudouallec,Z,1701,0.0451,0.0537
1703,56200,Ruffiac,0,562000000,Ruffiac,Z,1702,0.9065,0.8538
1704,56201,Le Saint,0,562010000,Le Saint,Z,1703,0.1917,0.2292
1705,56202,Saint-Abraham,0,562020000,Saint-Abraham,Z,1704,0.9614,0.9688
1706,56203,Saint-Aignan,0,562030000,Saint-Aignan,Z,1705,0.547,0.3184
1707,56204,Saint-Allouestre,0,562040000,Saint-Allouestre,Z,1706,0.5028,0.503
1708,56205,Saint-Armel,0,562050000,Saint-Armel,Z,1707,0.8547,0.8573
1709,56206,Saint-Avé,102,562060102,Peri Centre,H,1708,0.6707,0.6979
1710,56206,Saint-Avé,103,562060103,Berval Lesvellec,H,1709,0.5705,0.5871
1711,56206,Saint-Avé,101,562060101,Centre Bourg,H,1710,0.9322,0.9195
1712,56207,Saint-Barthélemy,0,562070000,Saint-Barthélemy,Z,1711,0.7276,0.6974
1713,56208,Saint-Brieuc-de-Mauron,0,562080000,Saint-Brieuc-de-Mauron,Z,1712,0.1459,0.1818
1714,56209,Sainte-Brigitte,0,562090000,Sainte-Brigitte,Z,1713,0.0111,0.0438
1715,56210,Saint-Caradec-Trégomel,0,562100000,Saint-Caradec-Trégomel,Z,1714,0.9752,0.9449
1716,56211,Saint-Congard,0,562110000,Saint-Congard,Z,1715,0.3432,0.4288
1717,56212,Saint-Dolay,0,562120000,Saint-Dolay,Z,1716,0.7296,0.6808
1718,56213,Saint-Gérand,0,562130000,Saint-Gérand,Z,1717,0.9892,0.9835
1719,56214,Saint-Gildas-de-Rhuys,0,562140000,Saint-Gildas-de-Rhuys,Z,1718,0.4306,0.4547
1720,56215,Saint-Gonnery,0,562150000,Saint-Gonnery,Z,1719,0.1516,0.1351
1721,56216,Saint-Gorgon,0,562160000,Saint-Gorgon,Z,1720,0.74,0.7823
1722,56218,Saint-Gravé,0,562180000,Saint-Gravé,Z,1721,0.1848,0.1015
1723,56219,Saint-Guyomard,0,562190000,Saint-Guyomard,Z,1722,0.619,0.6044
1724,56220,Sainte-Hélène,0,562200000,Sainte-Hélène,Z,1723,0.9955,0.9921
1725,56221,Saint-Jacut-les-Pins,0,562210000,Saint-Jacut-les-Pins,Z,1724,0.7321,0.7363
1726,56222,Saint-Jean-Brévelay,0,562220000,Saint-Jean-Brévelay,Z,1725,0.9677,0.9786
1727,56223,Saint-Jean-la-Poterie,0,562230000,Saint-Jean-la-Poterie,Z,1726,0.508,0.4994
1728,56224,Saint-Laurent-sur-Oust,0,562240000,Saint-Laurent-sur-Oust,Z,1727,0.1677,0.1273
1729,56225,Saint-Léry,0,562250000,Saint-Léry,Z,1728,1,1
1730,56226,Saint-Malo-de-Beignon,0,562260000,Saint-Malo-de-Beignon,Z,1729,0.1981,0.186
1731,56227,Saint-Malo-des-Trois-Fontaines,0,562270000,Saint-Malo-des-Trois-Fontaines,Z,1730,0.5677,0.6447
1732,56228,Saint-Marcel,0,562280000,Saint-Marcel,Z,1731,0.9965,0.9974
1733,56229,Saint-Martin-sur-Oust,0,562290000,Saint-Martin-sur-Oust,Z,1732,0.0475,0.0609
1734,56230,Saint-Nicolas-du-Tertre,0,562300000,Saint-Nicolas-du-Tertre,Z,1733,0.2671,0.2861
1735,56231,Saint-Nolff,0,562310000,Saint-Nolff,Z,1734,0.922,0.8968
1736,56232,Saint-Perreux,0,562320000,Saint-Perreux,Z,1735,0.8901,0.8908
