fid,INSEE_COM,NOM_COM,IRIS,CODE_IRIS,NOM_IRIS,TYP_IRIS,mapped,pop_cov,area_cov
147,22131,Loguivy-Plougras,0,221310000,Loguivy-Plougras,Z,146,0.7562,0.7946
148,22132,Lohuec,0,221320000,Lohuec,Z,147,0.0345,0.0123
149,22133,Loscouët-sur-Meu,0,221330000,Loscouët-sur-Meu,Z,148,0.6685,0.6734
150,22134,Louannec,0,221340000,Louannec,Z,149,0.8177,0.8309
151,22135,Louargat,0,221350000,Louargat,Z,150,0.9206,0.9237
152,22136,Loudéac,102,221360102,Peri-Urbain Nord et Ouest,H,151,0.5918,0.6215
153,22136,Loudéac,104,221360104,Centre Ville,H,152,1,1
154,22136,Loudéac,103,221360103,Peri-Urbain Est,H,153,0.9971,0.9979
155,22136,Loudéac,105,221360105,Habitat Epars,H,154,0.7037,0.7394
156,22136,Loudéac,101,221360101,Za,A,155,1,1
157,22137,Maël-Carhaix,0,221370000,Maël-Carhaix,Z,156,0.3296,0.3402
158,22138,Maël-Pestivien,0,221380000,Maël-Pestivien,Z,157,0.0781,0.0933
159,22139,Magoar,0,221390000,Magoar,Z,158,0.5,0.5455
160,22140,La Malhoure,0,221400000,La Malhoure,Z,159,0.9894,0.9847
161,22141,Mantallot,0,221410000,Mantallot,Z,160,0.0397,0.0357
162,22143,Matignon,0,221430000,Matignon,Z,161,0.8834,0.8771
163,22144,La Méaugon,0,221440000,La Méaugon,Z,162,0.4722,0.4263
164,22145,Mégrit,0,221450000,Mégrit,Z,163,0.2302,0.1667
165,22146,Mellionnec,0,221460000,Mellionnec,Z,164,0,0
166,22147,Merdrignac,0,221470000,Merdrignac,Z,165,0.9725,0.9305
167,22148,Mérillac,0,221480000,Mérillac,Z,166,0.9571,0.9504
168,22149,Merléac,0,221490000,Merléac,Z,167,0.4474,0.3154
169,22150,Le Merzer,0,221500000,Le Merzer,Z,168,0.1817,0.1827
170,22151,Meslin,0,221510000,Meslin,Z,169,0.5659,0.55
171,22152,Minihy-Tréguier,0,221520000,Minihy-Tréguier,Z,170,0.739,0.7426
172,22153,Moncontour,0,221530000,Moncontour,Z,171,0.1564,0.1579
173,22154,Morieux,0,221540000,Morieux,Z,172,0.0646,0.2479
174,22155,La Motte,0,221550000,La Motte,Z,173,0.8883,0.8628
175,22156,Moustéru,0,221560000,Moustéru,Z,174,0.228,0.2399
176,22157,Le Moustoir,0,221570000,Le Moustoir,Z,175,0.4916,0.4923
177,22158,Mûr-de-Bretagne,0,221580000,Mûr-de-Bretagne,Z,176,0.994,0.9964
178,22160,Noyal,0,221600000,Noyal,Z,177,0.9979,0.9964
179,22161,Pabu,0,221610000,Pabu,Z,178,1,1
180,22162,Paimpol,102,221620102,Kernoa-Kerity-Littoral,H,179,0.8891,0.8617
181,22162,Paimpol,103,221620103,Le Vieux Bourg-La Lande Blanche-Plounez,H,180,0.8628,0.8649
182,22162,Paimpol,101,221620101,Centre Ville,H,181,0.951,0.9544
183,22163,Paule,0,221630000,Paule,Z,182,0.961,0.9559
184,22164,Pédernec,0,221640000,Pédernec,Z,183,0.8046,0.8064
185,22165,Penguily,0,221650000,Penguily,Z,184,0.6553,0.659
186,22166,Penvénan,0,221660000,Penvénan,Z,185,0.8073,0.8023
187,22167,Perret,0,221670000,Perret,Z,186,0.0559,0.112
188,22168,Perros-Guirec,103,221680103,Ouest,H,187,0.7392,0.7321
189,22168,Perros-Guirec,102,221680102,Sud Est,H,188,0.5452,0.5023
190,22168,Perros-Guirec,101,221680101,Nord Est,H,189,0.4938,0.5414
191,22169,Peumerit-Quintin,0,221690000,Peumerit-Quintin,Z,190,0.0775,0.0753
192,22170,Plaine-Haute,0,221700000,Plaine-Haute,Z,191,0.6425,0.691
193,22171,Plaintel,0,221710000,Plaintel,Z,192,0.9691,0.961
194,22172,Plancoët,0,221720000,Plancoët,Z,193,1,0.9923
195,22173,Planguenoual,0,221730000,Planguenoual,Z,194,0.4191,0.4348
196,22174,Pléboulle,0,221740000,Pléboulle,Z,195,0.5,0.4232
197,22175,Plédéliac,0,221750000,Plédéliac,Z,196,0.2339,0.2759
198,22176,Plédran,101,221760101,Secteur Urbain,H,197,1,1
199,22176,Plédran,102,221760102,Secteur Rural,H,198,0.9839,0.9785
200,22177,Pléguien,0,221770000,Pléguien,Z,199,0.4037,0.4207
201,22178,Pléhédel,0,221780000,Pléhédel,Z,200,0.0365,0.0713
202,22179,Fréhel,0,221790000,Fréhel,Z,201,0.7366,0.673
203,22180,Plélan-le-Petit,0,221800000,Plélan-le-Petit,Z,202,0.9284,0.9293
204,22181,Plélauff,0,221810000,Plélauff,Z,203,0.0212,0.0197
205,22182,Plélo,0,221820000,Plélo,Z,204,0.5329,0.5474
206,22183,Plémet,0,221830000,Plémet,Z,205,0.1336,0.2
207,22184,Plémy,0,221840000,Plémy,Z,206,0.9279,0.9019
208,22185,Plénée-Jugon,0,221850000,Plénée-Jugon,Z,207,0.2381,0.2466
209,22186,Pléneuf-Val-André,0,221860000,Pléneuf-Val-André,Z,208,0.9034,0.909
210,22187,Plérin,106,221870106,Saint-Eloi-Les Rosaires,H,209,0.605,0.6339
211,22187,Plérin,101,221870101,Centre Ville 1,H,210,1,1
212,22187,Plérin,105,221870105,Saint-Laurent-Sous La Tour,H,211,0.9663,0.9655
213,22187,Plérin,102,221870102,Centre Ville 2,H,212,1,1
214,22187,Plérin,104,221870104,Le Legue,H,213,0.9469,0.9577
215,22187,Plérin,103,221870103,Le Sepulcre,D,214,0.8908,0.8972
216,22188,Plerneuf,0,221880000,Plerneuf,Z,215,0.1783,0.202
217,22189,Plésidy,0,221890000,Plésidy,Z,216,0.2883,0.2709
218,22190,Pleslin-Trigavou,0,221900000,Pleslin-Trigavou,Z,217,0.0869,0.0885
219,22191,Plessala,0,221910000,Plessala,Z,218,0.7643,0.7275
220,22192,Plessix-Balisson,0,221920000,Plessix-Balisson,Z,219,0,0
221,22193,Plestan,0,221930000,Plestan,Z,220,0.9197,0.9746
222,22194,Plestin-les-Grèves,0,221940000,Plestin-les-Grèves,Z,221,0.8957,0.8905
223,22195,Pleubian,0,221950000,Pleubian,Z,222,0.011,0.0107
224,22196,Pleudaniel,0,221960000,Pleudaniel,Z,223,0.5659,0.5684
225,22197,Pleudihen-sur-Rance,0,221970000,Pleudihen-sur-Rance,Z,224,0.9745,0.9624
226,22198,Pleumeur-Bodou,0,221980000,Pleumeur-Bodou,Z,225,0.9613,0.9603
227,22199,Pleumeur-Gautier,0,221990000,Pleumeur-Gautier,Z,226,0.3995,0.4065
228,22200,Pléven,0,222000000,Pléven,Z,227,0.2985,0.3147
229,22201,Plévenon,0,222010000,Plévenon,Z,228,0.8704,0.8777
230,22202,Plévin,0,222020000,Plévin,Z,229,0.6252,0.6273
231,22203,Ploeuc-sur-Lié,0,222030000,Ploeuc-sur-Lié,Z,230,0.7396,0.7052
232,22204,Ploëzal,0,222040000,Ploëzal,Z,231,0.6798,0.6767
233,22205,Plorec-sur-Arguenon,0,222050000,Plorec-sur-Arguenon,Z,232,0.4861,0.4598
234,22206,Plouagat,0,222060000,Plouagat,Z,233,0.9004,0.9007
235,22207,Plouaret,0,222070000,Plouaret,Z,234,0.9881,0.9895
236,22208,Plouasne,0,222080000,Plouasne,Z,235,0.7345,0.7747
237,22209,Ploubalay,0,222090000,Ploubalay,Z,236,0.022,0.0197
238,22210,Ploubazlanec,0,222100000,Ploubazlanec,Z,237,0.6607,0.6883
239,22211,Ploubezre,0,222110000,Ploubezre,Z,238,0.9392,0.95
240,22212,Plouëc-du-Trieux,0,222120000,Plouëc-du-Trieux,Z,239,0.4588,0.4326
241,22213,Plouër-sur-Rance,0,222130000,Plouër-sur-Rance,Z,240,0.8703,0.8456
242,22214,Plouézec,0,222140000,Plouézec,Z,241,0.0957,0.087
243,22215,Ploufragan,103,222150103,Centre Ville Ouest,H,242,0.9988,0.9969
244,22215,Ploufragan,102,222150102,Carpont,H,243,1,1
245,22215,Ploufragan,104,222150104,Zi Chatelets-Za Sabot-Zoopole,A,244,1,1
246,22215,Ploufragan,105,222150105,Brezillet-Les Villes Moisan,H,245,0.9989,0.9992
247,22215,Ploufragan,101,222150101,Saint-Herve (les Chatelets),H,246,0.941,0.9454
248,22216,Plougonver,0,222160000,Plougonver,Z,247,0.1261,0.1199
249,22217,Plougras,0,222170000,Plougras,Z,248,0.6302,0.6477
250,22218,Plougrescant,0,222180000,Plougrescant,Z,249,0.1575,0.1482
251,22219,Plouguenast,0,222190000,Plouguenast,Z,250,0.978,0.9333
252,22220,Plouguernével,0,222200000,Plouguernével,Z,251,0.7916,0.7739
253,22221,Plouguiel,0,222210000,Plouguiel,Z,252,0.8243,0.8203
254,22222,Plouha,0,222220000,Plouha,Z,253,0.0365,0.034
255,22223,Plouisy,0,222230000,Plouisy,Z,254,0.9106,0.9149
256,22224,Ploulec'h,0,222240000,Ploulec'h,Z,255,0.8214,0.7869
257,22225,Ploumagoar,0,222250000,Ploumagoar,Z,256,0.7427,0.7519
258,22226,Ploumilliau,0,222260000,Ploumilliau,Z,257,0.9208,0.9011
259,22227,Plounérin,0,222270000,Plounérin,Z,258,0.7575,0.7342
260,22228,Plounévez-Moëdec,0,222280000,Plounévez-Moëdec,Z,259,0.9473,0.939
261,22229,Plounévez-Quintin,0,222290000,Plounévez-Quintin,Z,260,0.3245,0.4181
262,22231,Plourac'h,0,222310000,Plourac'h,Z,261,0.0949,0.0517
263,22232,Plourhan,0,222320000,Plourhan,Z,262,0.9104,0.8985
264,22233,Plourivo,0,222330000,Plourivo,Z,263,0.5942,0.5949
265,22234,Plouvara,0,222340000,Plouvara,Z,264,0.5045,0.5439
266,22235,Plouzélambre,0,222350000,Plouzélambre,Z,265,0.87,0.8438
267,22236,Pludual,0,222360000,Pludual,Z,266,0.7105,0.7146
268,22237,Pluduno,0,222370000,Pluduno,Z,267,0.8875,0.8726
269,22238,Plufur,0,222380000,Plufur,Z,268,0.2151,0.2533
270,22239,Plumaudan,0,222390000,Plumaudan,Z,269,0.378,0.4105
271,22240,Plumaugat,0,222400000,Plumaugat,Z,270,0.5967,0.5598
272,22241,Plumieux,0,222410000,Plumieux,Z,271,0.8887,0.8925
273,22242,Plurien,0,222420000,Plurien,Z,272,0.8847,0.8835
274,22243,Plusquellec,0,222430000,Plusquellec,Z,273,0.8523,0.8052
275,22244,Plussulien,0,222440000,Plussulien,Z,274,0.6356,0.6341
276,22245,Pluzunet,0,222450000,Pluzunet,Z,275,0.8665,0.8798
277,22246,Pommeret,0,222460000,Pommeret,Z,276,0.9812,0.9843
278,22247,Pommerit-Jaudy,0,222470000,Pommerit-Jaudy,Z,277,0.8814,0.8582
279,22248,Pommerit-le-Vicomte,0,222480000,Pommerit-le-Vicomte,Z,278,0.4058,0.4491
280,22249,Pont-Melvez,0,222490000,Pont-Melvez,Z,279,0.6872,0.7022
281,22250,Pontrieux,0,222500000,Pontrieux,Z,280,1,1
282,22251,Pordic,102,222510102,Cote Vert,H,281,0.9722,0.9805
283,22251,Pordic,101,222510101,Cote Bleu,H,282,0.891,0.8925
284,22253,Pouldouran,0,222530000,Pouldouran,Z,283,0.2289,0.2279
285,22254,Prat,0,222540000,Prat,Z,284,0.4071,0.4376
286,22255,La Prénessaye,0,222550000,La Prénessaye,Z,285,0.5507,0.581
287,22256,Quemper-Guézennec,0,222560000,Quemper-Guézennec,Z,286,0.6004,0.6121
288,22257,Quemperven,0,222570000,Quemperven,Z,287,0.5691,0.4909
289,22258,Quessoy,0,222580000,Quessoy,Z,288,0.9705,0.9715
290,22259,Quévert,0,222590000,Quévert,Z,289,1,1
291,22260,Le Quillio,0,222600000,Le Quillio,Z,290,0.1423,0.1056
292,22261,Quintenic,0,222610000,Quintenic,Z,291,0.9172,0.9195
293,22262,Quintin,0,222620000,Quintin,Z,292,1,1
294,22263,Le Quiou,0,222630000,Le Quiou,Z,293,0.102,0.086
295,22264,La Roche-Derrien,0,222640000,La Roche-Derrien,Z,294,0.7881,0.8016
296,22265,Rospez,0,222650000,Rospez,Z,295,0.6988,0.7329
297,22266,Rostrenen,0,222660000,Rostrenen,Z,296,0.9341,0.9574
298,22267,Rouillac,0,222670000,Rouillac,Z,297,0.6277,0.6291
299,22268,Ruca,0,222680000,Ruca,Z,298,0.5076,0.6277
300,22269,Runan,0,222690000,Runan,Z,299,0.3039,0.267
301,22271,Saint-Adrien,0,222710000,Saint-Adrien,Z,300,0.6157,0.6457
302,22272,Saint-Agathon,0,222720000,Saint-Agathon,Z,301,0.9256,0.9389
303,22273,Saint-Alban,0,222730000,Saint-Alban,Z,302,0.9375,0.9376
304,22274,Saint-André-des-Eaux,0,222740000,Saint-André-des-Eaux,Z,303,0.1135,0.1404
305,22275,Saint-Barnabé,0,222750000,Saint-Barnabé,Z,304,0.9332,0.9075
306,22276,Saint-Bihy,0,222760000,Saint-Bihy,Z,305,0.6765,0.6466
307,22277,Saint-Brandan,0,222770000,Saint-Brandan,Z,306,0.9867,0.9866
308,22278,Saint-Brieuc,116,222780116,La Ville Oger,H,307,1,1
309,22278,Saint-Brieuc,109,222780109,Saint-Michel Ouest,H,308,1,1
310,22278,Saint-Brieuc,119,222780119,l'Europe,H,309,1,1
311,22278,Saint-Brieuc,103,222780103,Le Point du Jour,H,310,1,1
312,22278,Saint-Brieuc,102,222780102,La Ville Jouha-Hellio,H,311,1,1
313,22278,Saint-Brieuc,115,222780115,La Croix Lambert,H,312,1,1
314,22278,Saint-Brieuc,106,222780106,Robien,H,313,0.9988,0.9985
315,22278,Saint-Brieuc,118,222780118,Ginglin,H,314,0.9608,0.92
316,22278,Saint-Brieuc,101,222780101,Les Villages,D,315,0.9978,0.9957
317,22278,Saint-Brieuc,113,222780113,Sainte-Therese,H,316,0.9712,0.9662
318,22278,Saint-Brieuc,114,222780114,Beauvallon,H,317,1,1
319,22278,Saint-Brieuc,110,222780110,Saint-Michel Est,H,318,1,1
320,22278,Saint-Brieuc,104,222780104,Le Tertre Notre Dame,H,319,1,1
321,22278,Saint-Brieuc,117,222780117,Zone Industrielle,A,320,0.9845,0.9717
322,22278,Saint-Brieuc,111,222780111,Le Legue,A,321,1,1
323,22278,Saint-Brieuc,112,222780112,Le Plateau,H,322,1,1
324,22278,Saint-Brieuc,105,222780105,La Tour d'Auvergne,H,323,1,1
325,22278,Saint-Brieuc,108,222780108,Centre Ville,H,324,1,1
326,22278,Saint-Brieuc,107,222780107,Charner,H,325,0.9746,0.9631
327,22278,Saint-Brieuc,120,222780120,Cesson,H,326,0.5935,0.5674
328,22279,Saint-Caradec,0,222790000,Saint-Caradec,Z,327,0.0666,0.0778
329,22280,Saint-Carné,0,222800000,Saint-Carné,Z,328,0.93,0.8826
330,22281,Saint-Carreuc,0,222810000,Saint-Carreuc,Z,329,0.7691,0.7436
331,22282,Saint-Cast-le-Guildo,0,222820000,Saint-Cast-le-Guildo,Z,330,0.898,0.8853
332,22283,Saint-Clet,0,222830000,Saint-Clet,Z,331,0.985,0.977
333,22284,Saint-Connan,0,222840000,Saint-Connan,Z,332,0,0
334,22285,Saint-Connec,0,222850000,Saint-Connec,Z,333,0.5415,0.5708
335,22286,Saint-Denoual,0,222860000,Saint-Denoual,Z,334,0.901,0.9382
336,22287,Saint-Donan,0,222870000,Saint-Donan,Z,335,0.9189,0.9174
337,22288,Saint-Étienne-du-Gué-de-l'Isle,0,222880000,Saint-Étienne-du-Gué-de-l'Isle,Z,336,0.9947,0.9923
338,22289,Saint-Fiacre,0,222890000,Saint-Fiacre,Z,337,0.0164,0.075
339,22290,Saint-Gelven,0,222900000,Saint-Gelven,Z,338,0.9605,0.9718
340,22291,Saint-Gildas,0,222910000,Saint-Gildas,Z,339,0.0222,0.0296
341,22292,Saint-Gilles-du-Mené,0,222920000,Saint-Gilles-du-Mené,Z,340,0.184,0.144
342,22293,Saint-Gilles-les-Bois,0,222930000,Saint-Gilles-les-Bois,Z,341,0.8647,0.875
343,22294,Saint-Gilles-Pligeaux,0,222940000,Saint-Gilles-Pligeaux,Z,342,0.0171,0.0243
344,22295,Saint-Gilles-Vieux-Marché,0,222950000,Saint-Gilles-Vieux-Marché,Z,343,0.0452,0.017
345,22296,Saint-Glen,0,222960000,Saint-Glen,Z,344,0.6073,0.6869
346,22297,Saint-Gouéno,0,222970000,Saint-Gouéno,Z,345,0.6862,0.6605
347,22298,Saint-Guen,0,222980000,Saint-Guen,Z,346,0.8036,0.777
348,22299,Saint-Hélen,0,222990000,Saint-Hélen,Z,347,0.4547,0.4889
349,22300,Saint-Hervé,0,223000000,Saint-Hervé,Z,348,0.8985,0.8853
350,22302,Saint-Jacut-de-la-Mer,0,223020000,Saint-Jacut-de-la-Mer,Z,349,0.087,0.0877
351,22303,Saint-Jacut-du-Mené,0,223030000,Saint-Jacut-du-Mené,Z,350,0.3285,0.4471
352,22304,Saint-Jean-Kerdaniel,0,223040000,Saint-Jean-Kerdaniel,Z,351,0.9851,0.9504
353,22305,Saint-Jouan-de-l'Isle,0,223050000,Saint-Jouan-de-l'Isle,Z,352,0.9375,0.9589
354,22306,Saint-Judoce,0,223060000,Saint-Judoce,Z,353,0.7783,0.799
355,22307,Saint-Julien,0,223070000,Saint-Julien,Z,354,0.8945,0.91
356,22308,Saint-Juvat,0,223080000,Saint-Juvat,Z,355,0.488,0.5063
357,22309,Saint-Launeuc,0,223090000,Saint-Launeuc,Z,356,0.9535,0.8787
358,22310,Saint-Laurent,0,223100000,Saint-Laurent,Z,357,0.2997,0.2958
359,22311,Saint-Lormel,0,223110000,Saint-Lormel,Z,358,0.811,0.8316
360,22312,Saint-Maden,0,223120000,Saint-Maden,Z,359,0.2857,0.4571
361,22313,Saint-Martin-des-Prés,0,223130000,Saint-Martin-des-Prés,Z,360,0.0161,0.02
362,22314,Saint-Maudan,0,223140000,Saint-Maudan,Z,361,0.0057,0.0186
363,22315,Saint-Maudez,0,223150000,Saint-Maudez,Z,362,0.664,0.7861
364,22316,Saint-Mayeux,0,223160000,Saint-Mayeux,Z,363,0.3617,0.3607
365,22317,Saint-Méloir-des-Bois,0,223170000,Saint-Méloir-des-Bois,Z,364,0.3103,0.4845
366,22318,Saint-Michel-de-Plélan,0,223180000,Saint-Michel-de-Plélan,Z,365,0.386,0.3333
367,22319,Saint-Michel-en-Grève,0,223190000,Saint-Michel-en-Grève,Z,366,0.1796,0.2931
368,22320,Saint-Nicodème,0,223200000,Saint-Nicodème,Z,367,0,0
369,22321,Saint-Nicolas-du-Pélem,0,223210000,Saint-Nicolas-du-Pélem,Z,368,0.9437,0.9703
370,22322,Saint-Péver,0,223220000,Saint-Péver,Z,369,0.7563,0.7689
371,22323,Saint-Pôtan,0,223230000,Saint-Pôtan,Z,370,0.8214,0.8331
372,22324,Saint-Quay-Perros,0,223240000,Saint-Quay-Perros,Z,371,0.5625,0.5834
373,22325,Saint-Quay-Portrieux,0,223250000,Saint-Quay-Portrieux,Z,372,0.976,0.97
374,22326,Saint-Rieul,0,223260000,Saint-Rieul,Z,373,0.1867,0.198
375,22327,Saint-Samson-sur-Rance,0,223270000,Saint-Samson-sur-Rance,Z,374,0.1952,0.198
376,22328,Saint-Servais,0,223280000,Saint-Servais,Z,375,0.1211,0.124
377,22330,Saint-Thélo,0,223300000,Saint-Thélo,Z,376,0.1916,0.1193
378,22331,Sainte-Tréphine,0,223310000,Sainte-Tréphine,Z,377,0.2261,0.1333
379,22332,Saint-Trimoël,0,223320000,Saint-Trimoël,Z,378,0.5851,0.6054
380,22333,Saint-Vran,0,223330000,Saint-Vran,Z,379,0.9209,0.896
381,22334,Saint-Igeaux,0,223340000,Saint-Igeaux,Z,380,0.5405,0.5639
382,22335,Senven-Léhart,0,223350000,Senven-Léhart,Z,381,0.0988,0.116
383,22337,Sévignac,0,223370000,Sévignac,Z,382,0.5692,0.653
384,22338,Squiffiec,0,223380000,Squiffiec,Z,383,0.884,0.8845
385,22339,Taden,0,223390000,Taden,Z,384,0.5549,0.5913
386,22340,Tonquédec,0,223400000,Tonquédec,Z,385,0.7514,0.7848
387,22341,Tramain,0,223410000,Tramain,Z,386,0.3585,0.3655
388,22342,Trébédan,0,223420000,Trébédan,Z,387,0.2417,0.2471
389,22343,Trébeurden,0,223430000,Trébeurden,Z,388,0.9161,0.941
390,22344,Trébrivan,0,223440000,Trébrivan,Z,389,0.2106,0.1874
391,22345,Trébry,0,223450000,Trébry,Z,390,0.6497,0.6742
392,22346,Trédaniel,0,223460000,Trédaniel,Z,391,0.4635,0.4706
393,22347,Trédarzec,0,223470000,Trédarzec,Z,392,0.8855,0.8508
394,22348,Trédias,0,223480000,Trédias,Z,393,0.1821,0.113
395,22349,Trédrez-Locquémeau,0,223490000,Trédrez-Locquémeau,Z,394,0.6351,0.5935
396,22350,Tréduder,0,223500000,Tréduder,Z,395,0.4653,0.3413
397,22351,Treffrin,0,223510000,Treffrin,Z,396,0.0155,0.0226
398,22352,Tréfumel,0,223520000,Tréfumel,Z,397,0.086,0.0893
399,22353,Trégastel,0,223530000,Trégastel,Z,398,0.9391,0.9345
400,22354,Tréglamus,0,223540000,Tréglamus,Z,399,0.7265,0.7238
401,22356,Trégomeur,0,223560000,Trégomeur,Z,400,0.5038,0.3939
402,22357,Trégon,0,223570000,Trégon,Z,401,0.1753,0.23
403,22358,Trégonneau,0,223580000,Trégonneau,Z,402,0.9547,0.9436
404,22359,Trégrom,0,223590000,Trégrom,Z,403,0.9569,0.924
405,22360,Trégueux,103,223600103,Rural et Espace Activites Hazaie,H,404,1,1
406,22360,Trégueux,102,223600102,Centre Ville 2,H,405,1,1
407,22360,Trégueux,101,223600101,Centre Ville 1,H,406,1,1
408,22361,Tréguidel,0,223610000,Tréguidel,Z,407,0.3148,0.3503
409,22362,Tréguier,0,223620000,Tréguier,Z,408,0.9831,0.9838
410,22363,Trélévern,0,223630000,Trélévern,Z,409,0.8822,0.8889
411,22364,Trélivan,0,223640000,Trélivan,Z,410,0.7611,0.7539
412,22365,Trémargat,0,223650000,Trémargat,Z,411,0,0
413,22366,Trémel,0,223660000,Trémel,Z,412,0.5146,0.5099
414,22367,Tréméloir,0,223670000,Tréméloir,Z,413,0.7002,0.6971
415,22368,Tréméreuc,0,223680000,Tréméreuc,Z,414,0.4782,0.4878
416,22369,Trémeur,0,223690000,Trémeur,Z,415,0.3271,0.2686
417,22370,Tréméven,0,223700000,Tréméven,Z,416,0.1438,0.1556
418,22371,Trémorel,0,223710000,Trémorel,Z,417,0.9676,0.9426
419,22372,Trémuson,0,223720000,Trémuson,Z,418,0.5099,0.5353
420,22373,Tréogan,0,223730000,Tréogan,Z,419,0,0
421,22375,Tressignaux,0,223750000,Tressignaux,Z,420,0.2055,0.1642
422,22376,Trévé,0,223760000,Trévé,Z,421,0.3043,0.349
423,22377,Tréveneuc,0,223770000,Tréveneuc,Z,422,0.1156,0.1043
424,22378,Trévérec,0,223780000,Trévérec,Z,423,0.2418,0.2847
425,22379,Trévou-Tréguignec,0,223790000,Trévou-Tréguignec,Z,424,0.9069,0.9129
426,22380,Trévron,0,223800000,Trévron,Z,425,0.8906,0.9077
427,22381,Trézény,0,223810000,Trézény,Z,426,0.76,0.76
428,22383,Troguéry,0,223830000,Troguéry,Z,427,1,1
429,22384,Uzel,0,223840000,Uzel,Z,428,0.8744,0.8669
430,22385,La Vicomté-sur-Rance,0,223850000,La Vicomté-sur-Rance,Z,429,0.5563,0.582
431,22386,Le Vieux-Bourg,0,223860000,Le Vieux-Bourg,Z,430,0.1422,0.1442
432,22387,Le Vieux-Marché,0,223870000,Le Vieux-Marché,Z,431,0.7834,0.75
433,22388,Vildé-Guingalan,0,223880000,Vildé-Guingalan,Z,432,0.8267,0.8102
434,22389,Yffiniac,0,223890000,Yffiniac,Z,433,0.8888,0.8982
435,22390,Yvias,0,223900000,Yvias,Z,434,0.3553,0.332
436,22391,Yvignac-la-Tour,0,223910000,Yvignac-la-Tour,Z,435,0.3072,0.3083
437,29001,Argol,0,290010000,Argol,Z,436,0.4789,0.5317
438,29002,Arzano,0,290020000,Arzano,Z,437,0.3565,0.3753
439,29003,Audierne,0,290030000,Audierne,Z,438,0.9324,0.9354
440,29004,Bannalec,0,290040000,Bannalec,Z,439,0.8993,0.9439
441,29005,Baye,0,290050000,Baye,Z,440,0.4373,0.4059
442,29006,Bénodet,0,290060000,Bénodet,Z,441,0.9492,0.9453
443,29007,Berrien,0,290070000,Berrien,Z,442,0.6152,0.8583
444,29008,Beuzec-Cap-Sizun,0,290080000,Beuzec-Cap-Sizun,Z,443,0.2944,0.2919
445,29010,Bodilis,0,290100000,Bodilis,Z,444,0.328,0.3373
446,29011,Bohars,0,290110000,Bohars,Z,445,1,1
447,29012,Bolazec,0,290120000,Bolazec,Z,446,0,0
448,29013,Botmeur,0,290130000,Botmeur,Z,447,0.2791,0.3529
449,29014,Botsorhel,0,290140000,Botsorhel,Z,448,0.5233,0.4669
450,29015,Bourg-Blanc,0,290150000,Bourg-Blanc,Z,449,0.9928,0.9952
451,29016,Brasparts,0,290160000,Brasparts,Z,450,0.827,0.7438
452,29017,Brélès,0,290170000,Brélès,Z,451,0.9668,0.9417
453,29018,Brennilis,0,290180000,Brennilis,Z,452,0.041,0.0897
454,29019,Brest,163,290190163,Le Restic,A,453,0.9918,0.9948
455,29019,Brest,119,290190119,Recouvrance-Caffarelli,H,454,1,1
456,29019,Brest,143,290190143,Keruscun,H,455,1,1
457,29019,Brest,109,290190109,Kerourien Sud,H,456,1,1
458,29019,Brest,121,290190121,Ports,A,457,1,1
459,29019,Brest,165,290190165,Le Bergot,H,458,1,1
460,29019,Brest,134,290190134,Lanredec-Facultes,H,459,1,1
461,29019,Brest,145,290190145,Forestou,H,460,1,1
462,29019,Brest,117,290190117,Prat Ledan,H,461,1,1
463,29019,Brest,154,290190154,Dourjacq-Quartier Buquet,H,462,1,1
464,29019,Brest,151,290190151,Kerbernard-Pen Ar Creach,H,463,1,1
465,29019,Brest,153,290190153,Dourjacq,H,464,1,1
466,29019,Brest,161,290190161,Loscoat,H,465,1,1
467,29019,Brest,116,290190116,Recouvrance-Pontaniou,H,466,1,1
468,29019,Brest,131,290190131,Bellevue Centre,H,467,1,1
469,29019,Brest,105,290190105,Saint-Pierre,H,468,1,1
470,29019,Brest,114,290190114,Landais,H,469,1,1
471,29019,Brest,106,290190106,Mesdoun,H,470,1,1
472,29019,Brest,159,290190159,Keredern,H,471,1,1
473,29019,Brest,127,290190127,Kergoat Est,H,472,1,1
474,29019,Brest,132,290190132,Kerbernier,H,473,1,1
475,29019,Brest,140,290190140,Saint-Martin,H,474,1,1
476,29019,Brest,135,290190135,Bonne Nouvelle,H,475,1,1
477,29019,Brest,102,290190102,Maison Blanche-Le Portzic,A,476,0.8601,0.8558
478,29019,Brest,166,290190166,Kervao-Rural Nord,H,477,0.9561,0.9677
479,29019,Brest,144,290190144,Poul Ar Bachet,H,478,1,1
480,29019,Brest,150,290190150,Petit Paris,H,479,1,1
481,29019,Brest,118,290190118,Kerangoff,H,480,1,1
482,29019,Brest,126,290190126,Kergoat Ouest,H,481,1,1
483,29019,Brest,146,290190146,Kerangall-Kerampere,H,482,1,1
484,29019,Brest,103,290190103,Kerargaouyat-Le Cruguel,H,483,0.9184,0.9193
485,29019,Brest,123,290190123,Siam-Tour d'Auvergne,H,484,1,1
486,29019,Brest,115,290190115,Queliverzan,H,485,1,1
487,29019,Brest,138,290190138,Bas Jaures-Saint Michel,H,486,1,1
488,29019,Brest,141,290190141,Pilier Rouge,H,487,1,1
489,29019,Brest,139,290190139,Sanquer,H,488,1,1
490,29019,Brest,122,290190122,Bas de Siam,H,489,1,1
491,29019,Brest,112,290190112,La Cavale Blanche Ouest-Mesnos,H,490,1,1
