Site_name,Transmitter Easting,Transmitter northing,Transmitter height,abs_pop,abs_area
29302_003,121721,2381434,35.25,467,17.175
29161_001,122460.12,2343003.86,27.7,2097,16.6175
29232_026,122835.39,2357321.07,47,853,29.3075
29302_001,123952.24,2381375.1,20.5,2207,27.2275
29051_004,124005,2353420,32,2435,9.8925
29213_001,124325.66,2419789.01,33.25,1974,55.5075
29058_003,124790,2340427,36.6,4669,22.3075
29277_001,124982.03,2397246.98,33.9,1111,26.4125
29026_001,125058.35,2376418.17,36.5,1785,35.935
29232_039,125105.19,2350732.37,37,1531,12.395
29247_004,125543.92,2346133.09,31,1916,17.9325
29058_002,125750,2337420,29.5,2614,68.2925
29030_001,125917.19,2427393.72,26,2228,69.48
29020_003,126002.01,2369677,33,386,38.825
29051_003,126310,2353700,34.5,2484,24.7475
29105_003,126420,2409995,24.2,2370,3.4875
29020_001,126668.03,2363578.58,36,2713,57.8175
29277_004,126740.04,2399929.9,22.9,391,42.9
29097_002,127410,2407471,21,2490,28.8575
29247_001,127550,2349320,27.7,531,12.2875
29105_001,128379.29,2410059.97,27.3,2005,27.57
29210_001,129136,2416819.01,42,2386,60.05
29057_002,130034,2342600,32.2,2392,24.05
29277_003,130034.63,2403527.01,31,1161,46.82
29272_001,131309.01,2347970,21.1,1403,24.655
29039_008,132224,2343290,21.5,367,8.22
29016_001,132628.01,2384646,33.3,703,47.46
29039_001,132691.03,2338891.96,33,10187,35.3325
29162_001,132879,2377335,34,2171,54.5325
29039_010,133330,2341160,30.3,1510,9.22
29259_004,133398,2429200,17.3,2431,55.8725
29184_001,133913.04,2422622.05,29.4,2131,43.3575
29039_006,134770.98,2344303.91,40,684,22.4525
29259_003,134947.01,2426513,28,3988,33.16
29267_002,135408.98,2366719.42,27,534,51.815
29293_004,136142.37,2335977.77,25.05,3846,22.95
29239_001,136206.06,2432291.71,19.2,2328,130.4
29049_001,136737.17,2350773.37,26.8,1474,36.69
29266_001,136946,2410363,48,2024,46.9975
29293_003,137680,2329800,21,1119,125.875
29146_004,137725,2340925,23.4,1159,21.0825
29293_002,139038,2335598,32.5,844,18.765
29202_001,139460.84,2397637.1,42.5,1050,84.8
29279_002,140620,2419918,20.5,1607,25.9775
29163_001,141092.26,2408324.55,33.6,1750,31.13
29153_001,141320,2331700,28.58,1593,22.835
29041_001,141340,2358990,37,2023,90.66
29146_002,141651.03,2339392.46,30.5,667,33.94
29027_002,142920,2373680,45.4,1214,45.275
29175_001,143157,2378751,27.5,1140,57.01
29254_003,143390.99,2416229.25,26.35,2979,22.6375
29254_001,143670,2413840,37.5,1900,13.9
29241_002,143960,2346970,21.1,1204,31.4225
29027_001,143990.38,2371682.22,30.55,1695,33.62
29217_001,145233.05,2335334.76,35.1,2510,30.065
29151_001,145542.77,2415692.18,23,7429,4.735
29207_002,145773.37,2413659.51,30,1971,10.615
29151_004,146430,2416880,23.3,1351,3.205
29207_005,148355.68,2410422.06,21.5,1483,28.07
29211_001,149195,2389611,26.5,995,45.57
29007_001,149721,2396397.71,30.5,393,38.3225
29199_003,149840,2415418,32.5,1087,32.575
29004_001,149847.35,2343904.62,29.6,2971,46.905
29150_001,150037.3,2328745.38,31.1,2189,79.845
29274_001,150112.05,2351067.15,24,2203,56.33
29102_002,151509.29,2377595.51,37,965,56.5375
29191_001,152890.51,2409165.18,21.3,1781,38.1625
29236_002,153277.17,2336667.95,32.7,1356,48.7475
56081_001,153623.59,2355452.64,31.45,1095,35.0075
29113_001,153725.08,2421856.48,27,1925,33.0225
29031_001,155380,2328157,41.1,3583,58.6975
29199_002,156715.63,2414141.89,29.5,933,43.6725
29227_001,157516.07,2387959.47,21.8,988,60.13
56066_001,159520,2364690,19.3,2161,49.05
29233_001,159858.06,2334682.66,31.9,2315,11.2525
29233_002,160299.01,2335270,27.45,4534,7.055
29024_002,160690,2379348,23.5,2544,32.125
22194_001,161137.79,2422576.34,30.5,3362,64.6575
29183_001,161724.61,2412132.55,31.5,550,23.5925
29067_001,161833.83,2407618.34,27.8,778,44.6025
29230_002,162109.59,2345463.97,31.3,871,36.575
56105_001,162120.31,2350455.68,32,667,31.88
29297_001,162546,2338266,36.5,2343,38.96
29234_003,163267.94,2332149.19,31,768,18.175
56078_001,163808.77,2325393.66,41.1,3839,57.1875
22343_002,165347.63,2435978.82,23.4,1646,69.04
29234_001,165674.99,2334382.97,26,828,15.7025
56057_001,165685.82,2354752.8,41.8,1618,45.1475
22227_001,165851.73,2412613.37,26.95,337,14.56
56063_001,166034.24,2328005.77,36.2,2378,19.25
56100_001,166357.23,2361827.51,27.8,715,31.315
22349_001,166674.64,2428033.84,26.1,896,23.7725
22343_006,167119.33,2436877.06,22,1327,57.225
22343_005,167584.24,2435396.62,27,1237,6.065
56162_003,168112.67,2319890.84,14.5,4456,4.7625
22226_001,168210,2426545,38.15,1563,28.4425
56185_001,169266.16,2325021.12,26.4,4183,15.255
56131_003,169500.01,2348214.99,36.2,781,30.725
22163_002,169504.7,2373273.48,30.1,791,50.6125
56162_002,169687.05,2318623.53,28.3,1649,29.505
22198_001,169714.29,2435411.92,24.35,1087,9.55
22131_001,170025,2407910,21.3,375,14.4775
22163_001,170065.99,2378621.81,30.3,857,48.64
22353_002,170140.43,2439399.21,22,1997,26.7275
22207_002,170245.54,2420471.02,31.15,611,39.8375
22207_001,170350,2417245,30.3,1809,27.24
56162_001,170379.01,2321236.28,56.5,3147,9.24
22113_006,170554,2433038,17.2,662,8.5075
56121_004,170602.02,2320517.97,43.63,4525,2.0625
22353_003,170626.52,2442025.51,19.5,955,40.1575
