Site_name,Transmitter Easting,Transmitter northing,Transmitter height,abs_pop,abs_area
16132_001,477272.33,2100032.39,30.5,1217,38.525
37261_002,477285.98,2265254.95,52,4764,2.655
76159_001,477332.5,2532870.98,37,2240,18.5075
37001_001,477599.68,2217200.89,17.85,629,24.32
24013_002,477750,2014500,26.15,238,14.545
86086_001,477949,2203101,31.8,571,33.7925
86098_001,478096,2175829,38,361,73.1875
37149_002,478281.89,2289998.01,41.1,210,30.6975
37233_003,478337.03,2265866.99,37.8,2197,2.69
27041_001,478384,2440466,28.95,879,59.2825
27251_001,478495.5,2454677.32,51.1,1039,49.4875
61500_001,478507,2401669,32.45,1046,39.3275
37166_001,478541.22,2254703.42,31,3786,19.7025
37050_002,478547.9,2261826.01,29.1,3918,7.3825
82049_001,478579.68,1898210.75,35.35,583,33.6675
47217_003,478625.09,1910374.95,25.5,458,39.7775
76315_001,478752.56,2528139.05,37,1078,43.395
27131_001,478784,2462900,34.5,907,40.6475
47203_001,478795.19,1933221.48,12.85,2889,55.085
31239_001,478812.82,1820223.41,31,1285,37.66
37233_001,479009.15,2267171.68,32,4712,6.005
24439_001,479725.04,2017123.16,30.1,406,13.9275
37208_003,479731.16,2264386.03,39,3852,8.555
72156_001,479854,2344121,27.3,101,14.43
24022_003,479948.63,1986241.08,31,579,26.0325
37179_001,480234.86,2273613.59,20.5,1580,19.905
32084_001,480338.28,1878796.12,31,339,50.0025
31050_001,480436.01,1791590.96,31.5,913,49.8675
27049_001,480659,2445288,16.3,479,21.8125
27069_001,481025,2425570,18.1,2148,46.805
61246_002,481034.67,2363819.57,28.25,491,30.35
37203_001,481128.05,2269450.56,36.6,3211,19.69
37211_001,481129.8,2249398.96,31.45,1227,41.545
61092_001,481144.44,2418658.48,41.35,1129,41.4525
27116_001,481167.75,2467781.95,34,2509,25.89
37050_008,481182,2259771,23.5,380,9.8675
37124_002,481203.09,2262672.59,36.4,1541,7.9925
72269_001,481427.21,2325994.26,25,2839,46.295
37019_001,481436.29,2208960.77,30,911,38.3975
27052_001,481446.95,2472213.81,36,811,11.9375
72373_002,481687.98,2340973.09,36.5,1860,39.48
41020_001,482064.1,2315292.35,26.7,1938,41.3975
32147_001,482263.48,1847184.51,30.1,2149,64.5175
31083_001,482300,1803360,25,855,45.45
61230_001,482340,2394830,25.5,1059,35.615
24068_001,482360,1982660,27.5,165,13.5075
47067_001,482364.04,1905246.01,18,1188,37.045
24330_001,482456.63,2019442.56,32,192,13.72
37104_001,482565.97,2254368.89,27.8,2201,15.005
27497_001,482576,2486700,24.3,1970,43.505
76655_001,482583.22,2542663.45,26.5,2535,29.3675
32173_001,482659,1863490,23,560,64.4975
37113_001,482718.64,2212740.45,30.3,732,39.7625
37224_001,482764,2289785,17.8,534,38.835
24447_001,482840,2015530,45.46,387,12.7225
37273_001,482857.41,2266995.67,24.67,3137,10.76
76467_001,482913,2537947.71,25.8,1335,37.97
37124_004,483042.51,2263633.99,26.15,823,8.4775
82186_002,483075.96,1902111.01,35.6,3935,30.3475
27051_001,483230.03,2456474.3,29.65,889,15.595
27425_001,483270,2461551,18.5,1702,21.31
37143_001,483299.99,2238171.17,32.6,977,61.9075
24162_001,483400.82,2024093.47,25,1426,19.3225
47203_002,483416,1930655,24.5,491,41.71
87126_001,483488.44,2093691.34,39.2,2390,42.01
72193_002,483579,2343946,33.3,282,18.21
61246_003,483898.38,2365541.51,30.7,418,36.7225
86192_001,483921.08,2147521.12,35,280,40.8275
86207_001,483933.29,2199029.46,31.8,1581,49.215
24068_003,483977.69,1979732.3,23.3,162,9.06
37104_003,483998.1,2257187.54,31.35,689,18.0475
27444_002,484070.91,2446810.74,22.3,208,16.9175
27685_001,484098,2436020,22.8,883,33.8725
31357_001,484202,1779328,25,875,70.0825
37267_001,484306.35,2261326.02,33,2208,14.995
76041_002,484502.2,2519016.28,31.5,1388,56.8025
27521_001,484578.37,2405331.12,32.65,479,53.13
28280_001,484637.19,2371206.4,35.3,2592,50.215
37153_001,484691.3,2276914.07,46.5,1384,48.8375
76407_001,484829.77,2541998.41,41.15,751,71.1975
82008_001,484935.98,1896244.98,35,914,48.3925
37130_001,485022.85,2229180.85,20.3,1693,78.7975
27095_001,485090.55,2471154.99,39.97,780,32.81
76758_001,485448.38,2514416.68,40.8,6086,47.915
27125_001,485533.03,2467419.52,36.1,1039,37.055
24540_001,485681.11,2036400.21,32.15,465,19.47
27444_001,485730.81,2443731.13,33.5,593,22
27699_002,485771.51,2476104.69,25.9,1184,31.155
76659_001,485828.27,2503986.41,37,1654,31.2825
86120_002,485938.05,2142217.45,31,133,45.7925
24080_002,485960,1966605,21,657,21.755
86236_001,485986.08,2187594.87,27.3,473,28.395
87111_001,486050,2082160,21.5,1272,37.2475
24166_003,486069.97,2017176.71,32.1,292,17.7875
86254_003,486101,2154099,35,360,55.34
27108_001,486154.82,2419210.98,27.3,1054,31.7525
72193_003,486307,2344138,27,311,14.095
86246_001,486341.03,2174864.96,36.5,1630,52.7475
37254_001,486352,2252288,28,2454,29.6975
24217_003,486412,1995290.99,35.3,118,7.3475
76758_002,486417.24,2515255.1,25.5,2615,19.9875
47328_003,486504.33,1939214.18,38,1255,51.8525
82097_001,486518.66,1885518.79,21.8,1002,37.43
32410_001,486675,1831575,30.3,2911,66.7525
41235_001,486821.65,2324714.43,33.55,714,44.98
86165_002,486890.05,2160212.18,31.1,4303,39.815
87060_001,486905.96,2074114.61,29.5,471,39.1925
27051_002,487105,2454535,22,2488,37.12
76401_001,487132.31,2497650.03,26,3417,28.0525
41238_001,487235,2320705,20.1,1168,46.6775
24388_001,487240,1985180,15.96,800,16.03
28280_006,487445,2370180,23,4168,8.955
86254_001,487523.82,2157179.89,20.1,597,25.3525
37015_002,487539.83,2261135.67,32,2000,25.085
76219_001,487615,2526131,41.75,1893,35.26
37156_003,487777.51,2266530.02,37.8,4694,22.495
37270_002,487800,2269220,25,1234,10.5425
27242_001,488114.51,2440546.34,21.6,921,23.2875
24551_001,488228.47,2046675.87,32.2,2624,49.3575
27085_001,488395,2480080,24.66,1093,33.04
87154_005,488433.41,2098305.62,40.5,4250,19.275
31523_001,488562.13,1789466.09,25,2456,34.21
76015_002,488730.63,2537123.79,32.85,770,35.6425
32268_001,488739,1846089,24,472,37.6225
24015_002,488795.24,1989683,27.65,1513,22.155
27040_002,488941.58,2449303.72,26.5,429,24.9275
27363_001,489016,2489883,27.5,1562,37.7475
41149_001,489050,2308010,26.8,2143,29.3975
27340_001,489064.01,2486135.05,32.65,2699,38.7
28280_003,489124.48,2369638.06,25.5,2168,30.67
31084_001,489276.31,1799846.65,36,1985,25.1225
37276_003,489310,2284990,30.7,868,37.86
87028_001,489330.21,2137939.05,24,815,46.7925
37052_002,489483.5,2273663.2,22.9,793,18.5625
28018_002,489636.01,2356032,31.1,201,29.02
76735_001,489785,2542766,17,1035,52.83
47077_001,489836.01,1952844.32,20,453,18.8175
87154_009,489876.8,2100594.68,22.3,1739,16.4575
41177_001,489921.69,2344828.9,25.7,252,25.8675
27481_001,490100,2415210,27.5,477,40.575
24147_001,490405,2025945,33.65,394,19.205
09183_001,490480,1782131,29,594,19.55
37194_002,490490,2277225,23.5,903,21.2125
82101_002,490556,1899527.01,40,937,29.895
32007_001,490670,1859610,22,1038,63.55
76006_001,490839.74,2523810.27,38.5,842,25.2075
24015_001,490906.92,1987421.62,32.15,664,24.32
24284_001,490984,2020034,41.5,186,19.6525
37192_001,491439,2247622,29.84,1068,64.0275
37171_001,491519,2269779,18.35,661,10.41
47106_002,491580,1945280,24.5,5066,37.8425
87158_001,491646.66,2086112.18,33.5,1030,44.8425
27162_001,491669.67,2446038.38,31.35,741,38.74
87164_002,491720,2096910,27,826,28.025
37033_001,491737,2205924.87,25.65,993,36.5125
24188_001,491749,2014819,36.5,354,22.765
76077_001,491808.93,2530380.9,33.6,557,29.395
37008_002,491845,2257275,19.85,932,27.285
37052_001,491881,2274144,30,180,16.1425
47312_001,491925.35,1931966.38,21,492,39.87
32234_001,491928.32,1843481.6,25.4,472,39.7325
37225_002,491977,2262234,23,1748,18.6325
41274_001,492156.29,2306325.4,41.2,1619,55.1125
32322_001,492419,1834673,24.2,385,46.925
76272_001,492492.16,2536834.99,28.75,914,26.3225
27695_001,492520.41,2462114.3,27.3,1321,45.3125
87139_004,492540.25,2132847.67,27,241,44.7225
61116_001,492610.87,2376492.14,31.15,1432,67.4725
28018_001,492652,2356893,31.5,1088,37.2175
76510_001,492680.09,2528731.76,35.15,504,22.615
37138_002,492700,2266650,21.7,540,10.2925
87154_007,492830,2101808.02,35.6,872,36.3275
41143_001,492903,2332620,21.8,1919,73.995
61061_001,492910,2381710,21,805,27.8
28407_001,492939.01,2362632,29.15,505,50.9375
24356_001,493100,2008250,38.7,500,32.205
82180_001,493178.1,1879755.27,26,784,64.355
37010_002,493365,2287893,28.9,4524,44.0475
24137_001,493460,2033850,24.55,334,22.0225
32120_001,493569,1856318,14.85,467,21.9
41202_003,493588.01,2344783,15,218,27.0275
82169_001,493926.99,1895522.98,21,1266,40.2375
27105_001,494022,2477848,18,1659,26.9925
24486_002,494265.33,2066258.39,38.5,392,37.9725
37158_002,494448,2278360,30.75,655,29.815
87032_001,494825.54,2074500.5,30.8,1184,24.8075
47185_002,494864.66,1940708.89,24.25,769,39.485
32444_002,494871.17,1850898.88,21,515,35.2925
36224_001,494902,2191848.02,40,1570,68.915
24172_002,494916.79,1993375.41,27,410,9.5925
09095_002,495009.97,1769440.96,31.7,655,41.7975
82117_001,495489,1926364,23.25,573,26.65
76133_001,495510.2,2543059.87,23,674,65.9925
76597_001,495566.4,2529270.41,41.35,918,28.2525
27698_001,495728.64,2463808.98,36.6,3589,38.885
28202_001,495730.79,2404123.6,36.2,634,37.0175
27112_003,495783.33,2428688.64,30.1,2498,57.03
24035_001,495824.51,1974209.81,29,1014,20.1325
27679_001,495878.99,2417686.4,27.3,3513,66.735
31349_002,496370.32,1804239.14,35.8,727,44.3175
37132_001,496400.85,2235302.94,32.8,438,33.9725
32016_001,496439.77,1839993.09,16,478,33.255
41096_002,496492.91,2342667.9,27.3,207,30.74
87185_003,496697.26,2097441.12,31,810,18.115
09187_001,496789.28,1783205.16,30.5,479,16.4375
31193_001,496957.77,1809999.44,37,913,56.015
31520_001,496998.39,1816389.16,31.1,405,54.3525
31275_002,497049.43,1859589.93,26,788,28.4525
27638_001,497127.53,2472903.61,36.3,2390,35.79
37163_001,497230,2269735,31,3422,19.1
76056_001,497280.01,2493200,26.8,1660,42.39
76132_001,497455.2,2520036.93,35.3,2435,50.1375
24004_001,497479,2019523,36.5,106,11.7975
37240_001,497500,2289520,39.65,347,18.425
24036_001,497524.13,1982982.38,25,1507,44.555
37049_001,497526.13,2244178.51,31.1,873,46.6825
31464_001,497599,1828694,19.65,340,27.1675
37010_004,497612.4,2283571.58,31.1,154,21.63
37003_001,497664.1,2268379.24,23,5081,8.8175
87112_001,497669.75,2079843.43,30.9,392,42.265
76327_001,497673.84,2534954.38,36.4,1698,37.485
27120_002,497679,2444604,39,1505,39.1075
31135_002,497866.63,1800780.89,26.5,3036,20.77
37230_001,497890,2274685,26,833,26.065
27165_001,497994.88,2440051.77,31.4,2911,38.7725
37132_004,498011.38,2236310.58,28.3,5093,22.04
37253_001,498055.99,2254669.83,23.4,197,26.0275
37091_001,498240,2262570,22.3,1342,15.72
37027_002,498277,2258061,26,2968,22.66
27011_001,498287,2469885,37.25,1467,42.49
87018_001,498445,2116535,36.88,268,31.3175
87110_001,498495,2100990,33.5,1157,30.775
24559_002,498569.29,1999399.41,25,209,12.745
82081_001,498770,1884830,25.3,429,38.25
76636_001,498773.41,2501273.97,22.5,1964,22.52
27090_001,498820,2477660,36,3838,20.6125
37240_002,498822.93,2288075.05,32,10,4.38
41199_001,498948.73,2300304.53,24.25,935,50.07
76743_001,499052.12,2506067.23,41.5,6179,32.6725
41293_002,499300,2306090,33,666,46.9
41010_001,499384.59,2317275.68,31,561,11.7875
27524_001,499525,2458562,34.65,1397,73.885
28030_001,499545.82,2410073.76,29.8,439,41.83
24493_001,499564,2034838,30,1521,49.3025
76050_002,499574.8,2540509.95,15.5,1446,45.34
86273_001,499580,2163730,14,809,57.7925
24550_001,499665,2016935.01,33,806,25.2525
76495_001,499745.58,2509421.32,27.1,3513,17.69
41205_001,499748,2292137,26.15,164,25.1825
37132_002,499775.49,2239136.48,20.5,1630,21.775
28252_001,499895,2359854,20.5,503,34.5775
28387_001,499987,2368535.45,39.07,982,38.1225
87011_001,500014.5,2124413.67,37.6,2887,44.33
82093_001,500074.27,1880522.62,31,522,43.34
32160_001,500082.99,1845296.99,32,4031,33.755
37003_003,500282.8,2269074.34,30,2517,27.3975
76373_002,500316.68,2523998.27,31,920,36.1675
41213_002,500342,2296921,27.3,253,38.24
31061_002,500392.92,1854531.65,36.6,621,48.72
82033_003,500499,1894698,44.4,3475,40.2175
41096_001,500512,2343218,32,521,62.1975
37160_001,500512.64,2285250.14,26,310,19.21
82112_002,500669.59,1900511.88,31,5315,25.545
76743_002,501017.72,2505012.65,21.2,1078,15.205
31454_001,501186.79,1824199.66,18.5,2260,35.635
87029_002,501325.29,2073873.02,46.1,655,49.24
09261_006,501362.12,1778898.84,32,1468,18.4125
41158_001,501363.74,2313905.02,27,35,7.825
37079_001,501478.08,2260777.31,26.2,1444,23.1675
87191_002,501490,2086310,32.3,1090,44.0475
36113_001,501561,2200288,23.8,728,49.12
28373_003,501787.43,2395293.88,51.2,621,28.51
82033_002,501983.25,1894069.64,27.3,2912,18.7925
32425_002,502110,1847810,24,1370,33.155
28264_001,502198.68,2378321.28,41.5,773,49.385
28214_001,502247.4,2386276.07,30.1,3530,62.7325
37229_001,502266.46,2287832.28,32.75,248,27.045
37141_001,502457,2255023,18.1,379,36.035
41186_002,502554.98,2317821.11,29.41,197,32.405
76446_003,502561.77,2497227.04,26,831,9.675
76231_001,502562.18,2477006.62,35,8150,11.2175
76594_002,502615.48,2501695.62,31,1605,17.07
46107_002,502679.03,1942338.27,24.3,1696,46.5975
31481_004,502729,1832478,27.3,1076,36.7525
76319_004,502810,2485264,23.5,4251,12.6875
41193_001,502995,2329367,20.6,172,22.6325
27161_001,503012,2449613,26.3,1058,45.2875
09261_001,503021.03,1777014.95,25,3794,9.45
36018_001,503103.79,2182797.9,38.5,4618,65.5525
41041_002,503127,2333597,20.6,197,31.655
28368_001,503313.27,2404703.48,28.5,358,38.0925
76051_002,503500,2533330,26.9,1376,43.6425
76231_002,503618.53,2475977.57,38,4270,4.88
41269_003,503632,2311800.99,25.7,3205,5.6425
41073_001,503662.73,2322004.03,25.8,476,42.0875
41269_001,503812.38,2313351.8,50.5,6140,23.9475
76319_001,503865.82,2483457.01,45.5,1555,13.3075
76561_003,504045.3,2478743.37,31.85,2589,4.9225
32334_001,504076,1842947,38.8,804,21.0675
87202_001,504195.95,2098098.58,33.5,810,21.1225
76165_001,504252.47,2477904.84,20.12,1814,3.0675
41179_003,504345.01,2342304,27.3,140,19.0375
87082_002,504373.64,2065179.34,24.8,606,29.82
27082_001,504472.99,2444641.95,23.5,1759,10.21
41275_002,504478.55,2326114.61,27,628,23.295
41022_002,504496.35,2337727.48,27.3,154,14.5325
76561_001,504613.25,2479344.49,31.3,2488,3.19
28373_002,504734.92,2396455.3,29.7,1693,25.145
76497_001,504765.49,2488077.94,29.2,2988,9.37
76497_002,504796.92,2489804.31,31.3,1694,4.4775
87012_001,504805,2119980,25.3,295,32.32
87017_001,505070,2128053,25.6,378,33.23
82125_002,505072.42,1882297.68,31,337,37.5025
76410_003,505146.56,2499332.24,33,3345,6.405
31065_002,505228.96,1820024.92,26,1556,40.185
76178_001,505279.15,2480211.79,19.6,1557,4.4125
41269_005,505320,2309575,34.7,1507,23.7875
76157_005,505321.3,2496481.73,41.3,2336,3.58
27677_001,505329.67,2464540.85,35.3,818,43.8025
76157_003,505365.04,2495097.92,46.3,5374,8.34
76366_002,505475.79,2502264.57,21,2250,3.9525
28105_001,505653.62,2369843.21,35.85,743,59.3875
24491_001,505662.4,2018666.57,25.4,493,28.0825
76640_001,505679.91,2476177.43,22.5,4651,9.0075
76322_005,505752.03,2491585.99,16.6,1211,3.3375
31455_001,505772.2,1807681.99,21.2,1958,47.4925
76402_003,505913.59,2504574.09,22.3,2890,4.675
41179_002,505954.57,2340880.3,27.3,72,11.7625
27602_001,505986,2447619,34,699,16.9525
87201_006,506030,2095020,14,1245,13.5075
76322_004,506037.01,2490012,34.5,3669,3.695
41075_001,506042.88,2339158.21,33,733,23.045
28123_001,506247.24,2360132.87,20.7,320,37.805
82033_004,506259,1893168,34.75,1238,44.6975
31281_001,506358,1859849,19.3,823,35.0775
41269_002,506436.34,2310869.21,30.43,4211,18.4
76216_001,506442.97,2497978.04,36,3971,2.1975
24227_002,506447,2044792,23.5,875,33.68
41211_001,506468.48,2258731.64,32.8,2164,20.3875
76322_001,506474.17,2490966.88,34,5830,1.8125
37221_001,506516,2229577,30.6,791,44.7225
82099_001,506586.02,1903078.04,25.5,807,30.4075
24291_001,506714.39,2007609.03,31.5,1370,25.2575
36074_001,506730.34,2221699.39,42,467,68.8425
28033_001,506827.25,2391203.96,31.4,860,21.7525
27115_002,507014.41,2419325.9,36.35,1357,57.58
76178_002,507023,2480838,21,727,8.775
76540_029,507032.8,2494057.86,26,1846,3.2825
76474_001,507119.26,2499578.13,31.7,5655,6.6925
76700_001,507140.31,2520518.63,33,1571,63.8275
76216_002,507145.11,2497033.28,15.5,2421,1.1975
76322_002,507255.95,2490168.08,16,1493,0.5275
31297_001,507365.01,1852649,27,1627,17.855
37111_001,507450,2243000,22.1,984,35.3575
76540_020,507464.03,2492241.02,31,8730,2.925
87012_003,507475,2115050,26,302,23.0675
27184_001,507518,2468341,23.3,1382,34.2225
31107_002,507551,1812665,27.5,1020,28.89
76322_003,507557.11,2490550.81,43,2625,1.6675
27693_002,507562.93,2431227.16,25.9,1514,27.7875
76540_019,507570.02,2495502.99,27,2518,2.215
28398_001,507602.13,2354854.24,35.45,1040,79.725
87118_001,507615,2105657,26.1,774,21.18
82105_002,507623.22,1874883.84,31,823,47.975
28071_001,507656.06,2377612.7,30.55,472,22.6525
87201_004,507748.83,2096283.71,35.25,1200,16.8575
76245_001,507752.99,2506372.01,42,3808,31.5875
28059_001,507790,2411428,33.3,1372,60.2025
31499_001,507840.42,1835168.8,25.3,4773,24.69
76075_002,507852.65,2532097.07,27,671,31.995
76575_001,507878.69,2489244.71,35.45,3376,4.16
31188_002,507923,1840355,18.2,2063,20.6375
24577_001,507988.01,1981326,17.25,520,18.81
76217_014,508040,2548000,25,2427,54.25
41072_001,508070,2307290,21,256,23.04
76451_002,508102.48,2496799.97,49,5663,3.665
87150_002,508156.37,2071071.07,31.1,429,18.505
41051_001,508184.47,2263769.82,52,165,35.0825
76349_002,508185.06,2546400.18,29.5,3448,25.6625
27678_001,508196,2440748,15.47,663,9.1675
76498_004,508428.96,2491868.94,25.4,3817,1.0575
24075_001,508485.16,1965641.19,31.15,330,28.6425
76540_024,508562.88,2492549.18,15.14,2437,0.425
76540_039,508653.14,2493459.93,12.95,2532,0.6675
27412_001,508752.9,2472047.73,22.5,1268,18.755
76681_007,508757.97,2489965.95,32.5,4904,1.98
87075_002,508775,2091235,33,4479,37.475
41022_001,508805,2333352,59.35,409,58.515
27451_001,508812,2448933,40.42,672,23.1675
31475_001,508830.65,1830853.48,31.1,1188,24.18
41144_001,508907.98,2278058.1,38.7,1415,52.75
31473_002,508950.29,1865704.7,31.1,1068,55.4225
76540_022,508973,2493996.04,53.5,3709,1.405
76540_014,508979,2495412.96,20.33,6132,1.3275
27602_002,508979.72,2446337.87,39.8,4017,12.9025
87103_001,508989,2111296,32.2,675,20.1825
28012_001,509005.53,2343604.58,27,1170,24.855
76405_001,509009.86,2537460.24,20.56,1184,47.8575
76540_008,509012.23,2494483.86,25.3,1988,0.45
27693_001,509022.03,2435366.69,31,997,43.5675
76540_021,509030.99,2492951.98,18.43,3042,0.6075
76451_004,509063.03,2497894.99,36.5,2799,5.215
46225_002,509263.58,1944739.25,31,2180,27.02
76575_002,509314.02,2488464.98,16.9,2428,1.9825
76484_002,509322.8,2484348.8,31,5084,9.6875
76681_003,509348.03,2491592.96,48.55,6933,2.205
31088_001,509458.76,1845701.42,35,3275,16.365
76540_003,509487.56,2494306.39,32.3,4890,0.6725
87107_001,509532.06,2104440.61,39,1278,20.4875
09164_002,509557.79,1777538.63,22.3,393,28.1975
41101_001,509569.02,2289556.02,61.6,1117,62.95
82080_001,509570.69,1898826.13,26,1209,37.895
76540_026,509578.01,2493585.48,20.14,2864,1.055
76217_003,509617.45,2548316.28,30,5854,1.6475
76681_001,509675.31,2492389.28,24.07,4920,1.595
76367_001,509680,2502227.99,21.05,1526,10.34
82042_001,509695.47,1913899.05,26.1,512,36.7225
76217_005,509706.23,2546221.71,24.4,1733,3.67
31507_001,509817.21,1856852.07,26.1,1605,26.475
31188_003,509835,1839839.01,18,1252,8.175
76681_006,509853.81,2490301.46,25.7,2527,1.7175
76540_006,509854.01,2495238.95,22,6147,1.415
87201_005,509890,2094646,25.9,787,10.0825
76575_005,509938,2486790.02,46.4,5220,10.7325
76540_015,509946.61,2494768.3,22.6,1843,0.16
82087_003,509972.09,1903875.5,32,957,30.99
31299_001,510110.11,1826990.39,26.3,1925,31.105
76034_001,510131,2525637,31.55,1703,40.0075
28302_001,510152.33,2389438.51,40.9,945,49.2325
87089_001,510198.97,2136328.09,25.65,800,45.35
41211_003,510221.97,2255882.28,26.1,256,15.88
31375_002,510375,1801725,9.75,1919,44.0625
31107_003,510451,1810797,16,2976,23.32
76540_010,510475.98,2493856.01,20.5,4618,1.105
76540_005,510562.35,2494983.18,21.1,7234,1.3575
31187_002,510569,1837715,25.55,4924,20.6525
46201_001,510643.49,1927204.73,28.6,1092,34.93
76108_003,510702.89,2498359.73,22.05,2027,2.91
87121_001,510807.71,2124586.12,41,417,37.155
76108_002,510944.57,2497357.66,27.32,2337,2.05
82096_002,511005.61,1892804.59,21.1,1179,15.305
76217_008,511024,2547930,32,5620,12.2675
76681_004,511089.73,2490798.67,27.4,891,3.7825
28130_001,511091.54,2394203.62,21.4,675,35.7675
36176_001,511095,2181026.11,32.45,367,40.6625
24520_004,511108.76,1987638.94,26.6,2164,5.8975
87021_001,511112,2087187.01,19.25,1264,12.01
28012_003,511157,2344775,27,298,28.1575
76575_003,511183.37,2488493.36,22.4,1669,4.335
24520_005,511205.03,1990555.04,17.7,1353,13.1875
76217_013,511208,2548856,28.4,3348,62.315
76705_001,511272.24,2481199.31,29.5,2403,23.1775
87103_002,511282.61,2112196.15,48.7,1059,24.1825
76540_036,511295.75,2493808.72,17.9,3015,1.445
41175_001,511419.98,2318360.13,22.04,1466,45.4225
76179_001,511453.26,2512470.57,11.9,731,13.4775
28385_001,511550,2379341,33.5,616,43.2575
36045_001,511595.58,2220636.99,54.6,2224,61.7175
31291_001,511682.54,1843364.55,26.3,3284,11.43
27229_003,511689.98,2447713.06,34.72,3102,4.5325
37069_001,511703.77,2239172.31,31.1,654,50.2525
82190_001,511732.24,1872417.1,34.16,2482,27.8275
76108_001,511799.98,2497457.03,28.5,2320,2.2275
76026_001,511870,2544315,20,2267,23.56
76095_001,511871.23,2495795.28,28.22,4001,1.955
37046_002,512101.61,2251975.11,32.7,325,35.16
82123_001,512151.76,1879107.13,26,1210,26.6225
31303_001,512180,1818490,39.9,2368,27.5275
82125_003,512260,1884451,31.6,2516,20.685
76429_004,512286.85,2491155.12,21.5,1592,2.0725
27229_001,512300.49,2445599.69,31,1086,5.6375
27172_002,512352.8,2433834.23,36.7,702,32.4425
24152_001,512380,1978136,27.5,1106,28.305
27229_010,512406.49,2449215.49,37.25,3884,12.9975
82125_001,512521.86,1887277.11,36.55,646,26.2525
24412_003,512534.31,2003883.95,26.1,282,29.3175
24520_002,512621.36,1986775.08,23.1,618,6.4925
41283_001,512635.07,2302156.35,22.75,501,67.255
76540_001,512644.62,2494222.85,18.5,940,0.9
27014_001,512697,2462258,26.65,1215,20.015
76540_031,512737.99,2496768.98,50,5325,5.63
87106_002,512751.27,2075049.51,28.15,1192,39.2375
31253_001,512754,1829621.01,19.28,1413,16.7525
41151_002,512793,2261816,18,3096,21.2825
27229_007,512823.88,2447361.31,17.32,1962,0.99
87187_006,512916.97,2057427.08,31.3,3080,42.285
76540_013,512934.22,2495096.1,47.22,5258,3.5125
27229_012,513000.42,2448337.25,25.08,3257,1.09
28226_001,513040.35,2403058.49,34.65,515,50.0575
76429_001,513106.15,2492582.25,48,4613,4.515
09073_001,513147.24,1784446.92,13.6,221,43.9725
31104_001,513197.48,1814808.87,12.3,1287,28.8675
31417_001,513214.28,1846033.2,21,3347,9.425
87085_034,513256,2092069,16.3,2692,4.8475
76069_002,513268.41,2489003.33,34.5,2170,8.33
27017_001,513301.01,2443151,36,1657,22.0325
87050_003,513306.18,2098871.29,24.2,2045,14.5725
31181_001,513348.41,1823697.53,26.3,2450,27.1975
76039_001,513367.84,2482841.85,31,1064,12.9675
76414_002,513500,2547799,30,1432,28.275
87077_001,513599.92,2070674.37,30.45,594,34.6
27229_004,513619,2446608,26.5,5237,4.615
27229_011,513660.7,2448428.79,17.7,2351,0.905
41243_001,513685.92,2307176.41,25.8,841,58.36
76212_002,513750.58,2494621.07,55,2863,1.2775
31424_004,513765,1840561,28,2798,11.685
87075_004,513766,2090314,26.81,3265,4.8475
36123_001,513790,2204177,21.5,890,42.81
76123_001,513820,2505300,23.15,494,10.125
41167_002,513858.05,2277335.75,31,2559,27.7
76377_002,513880.84,2501833.72,26,1482,7.62
82001_001,513908,1893617,30.15,1685,34.6975
87038_038,513973.72,2103201.34,26.1,1352,21.7175
27229_009,513982.99,2447365.88,22,1903,1.0675
36173_001,514075,2189400,22,331,29.775
76201_001,514106.05,2503392.5,45.8,1327,18.8375
87057_001,514107.72,2132381.52,23.65,388,49.0225
87085_003,514140.41,2092634.32,36.6,10257,6.2125
27375_003,514183.7,2467946.95,22.33,6014,11.3175
31526_002,514198.37,1843052.77,26.95,2522,8.4725
24130_001,514259.39,2013430.5,30,1795,29.7275
87048_004,514260,2088750,20.91,2143,7.3225
27469_001,514277.09,2478799.71,21.2,3986,11.8325
76212_001,514277.99,2494010.01,37,3600,7.6025
27299_001,514291.61,2451752.12,22.3,2284,8.9875
87085_017,514309.95,2094480.45,45.83,6365,8.415
76475_001,514394,2490077,24.9,3152,5.5125
87085_022,514458.96,2090794.01,39.5,2187,6.07
31160_001,514524,1856294,37.8,1664,16.485
28093_001,514560,2347840,24.9,629,47.1125
41142_001,514580,2286715,25,1323,25.19
82048_001,514615.88,1875228.17,26,1481,22.135
27229_002,514643.8,2448625.01,31.2,3873,6.71
27172_001,514654.07,2426809.23,34.58,1056,58.2225
31351_002,514688,1852871,42.6,2550,17.8625
76429_002,514699,2491174,40.8,1758,7.7575
27375_005,514713,2470354,22,4307,8.315
27229_005,514714.65,2447086.98,21,1561,7.1575
76377_003,514927.33,2500176.34,31.5,807,9.235
87085_045,515100,2094060,21.44,4842,1.515
27147_001,515101,2455520,40,1422,26.63
76271_001,515190,2508700,30,1105,35.915
87048_002,515197.92,2085769.95,23.2,1232,19.8775
31232_001,515217,1862003,25.9,3052,36.38
28061_001,515227.31,2357538.38,37.1,3118,59.3725
87085_015,515243.47,2091465.82,37.3,6860,5.4625
87050_002,515270.65,2096908.35,27,2668,4.91
31547_002,515320.74,1834807.45,26.42,3416,20.455
31526_001,515371.97,1841584.02,18.6,5676,5.36
87085_046,515426,2095025,17.74,1832,1.975
82075_002,515494.01,1869445,32.32,2940,34.315
76562_001,515519.33,2542570.63,33.15,1799,19.57
