Name,Easting,Northing,Height,Population,Area
29016_001,132628.01,2384646,33.3,703,18938
29039_001,132691.03,2338891.96,33,10187,14107
29162_001,132879,2377335,34,2168,21788
29039_010,133330,2341160,30.3,1510,3688
29259_004,133398,2429200,17.3,2431,27583
29184_001,133913.04,2422622.05,29.4,2131,17340
29039_006,134770.98,2344303.91,40,684,8981
29259_003,134947.01,2426513,28,3988,13676
29267_002,135408.98,2366719.42,27,522,20847
29293_004,136142.37,2335977.77,25.05,3846,8300
29239_001,136206.06,2432291.71,19.2,2334,64269
29049_001,136737.17,2350773.37,26.8,1470,14662
29266_001,136946,2410363,48,2024,18734
29293_003,137680,2329800,21,1119,62140
29146_004,137725,2340925,23.4,1159,8440
29293_002,139038,2335598,32.5,844,7506
29202_001,139460.84,2397637.1,42.5,1050,34374
29279_002,140620,2419918,20.5,1607,10387
29163_001,141092.26,2408324.55,33.6,1750,12410
29153_001,141320,2331700,28.58,1593,9134
29041_001,141340,2358990,37,2040,37324
29146_002,141651.03,2339392.46,30.5,667,13573
29027_002,142920,2373680,45.4,1223,18433
29175_001,143157,2378751,27.5,1159,23469
29254_003,143390.99,2416229.25,26.35,2979,9291
29254_001,143670,2413840,37.5,1902,5572
29241_002,143960,2346970,21.1,1204,12554
29027_001,143990.38,2371682.22,30.55,1697,13698
29217_001,145233.05,2335334.76,35.1,2510,12026
29151_001,145542.77,2415692.18,23,7429,1894
29207_002,145773.37,2413659.51,30,1984,4269
29151_004,146430,2416880,23.3,1351,1282
29207_005,148355.68,2410422.06,21.5,1483,11228
29211_001,149195,2389611,26.5,997,18339
29007_001,149721,2396397.71,30.5,393,15470
29199_003,149840,2415418,32.5,1087,13029
29004_001,149847.35,2343904.62,29.6,2973,18838
29150_001,150037.3,2328745.38,31.1,2189,35026
29274_001,150112.05,2351067.15,24,2218,23511
29102_002,151509.29,2377595.51,37,965,22760
29191_001,152890.51,2409165.18,21.3,1780,15238
29236_002,153277.17,2336667.95,32.7,1356,19495
56081_001,153623.59,2355452.64,31.45,1096,13970
29113_001,153725.08,2421856.48,27,1925,13208
29031_001,155380,2328157,41.1,3583,36957
29199_002,156715.63,2414141.89,29.5,937,17550
