did,oid,eid,sid,ent,CO2,NOx,VOC,PM
431720,379595,,0,1,132.9478914,1.317354881,0.133717367,0.003788446
431720,379596,,0,1,100.5487138,0.956090477,0.097632514,0.008265845
431720,379634,,0,1,305.6887133,2.467783177,0.198382638,0.061347845
431720,379637,,0,1,180.9885954,1.72096837,0.17573867,0.014878812
431720,379650,,0,1,13.36172228,0.1304613,0.013273817,0.000632698
431720,379657,,0,1,93.55756089,0.913379399,0.0929206,0.004437415
431720,379671,,0,1,293.9022347,1.889530881,0.12776232,0.101333996
431720,379673,,0,1,441.5094181,4.278857261,0.435826013,0.025224819
431720,379679,,0,1,26.81388156,0.254962733,0.030400204,0.002204527
431720,379697,,0,1,232.7665543,2.154643397,0.208184455,0.021036195
431720,379700,,0,1,94.97759588,0.899015952,0.091285995,0.00810308
431720,379900,,0,1,395.7758125,3.731197904,0.387439645,0.034278717
431720,379906,,0,1,81.6700976,0.778402291,0.081721625,0.006148179
431720,379916,,0,1,207.9263492,1.976660927,0.201791926,0.017125752
431720,379957,,0,1,271.945937,2.695710523,0.284316537,0.007860555
431720,379959,,0,1,126.8763434,1.240457737,0.126191319,0.005791818
431720,380009,,0,1,284.146815,2.350907016,0.201477501,0.047890679
431720,380049,,0,1,301.6461937,2.86827194,0.292897569,0.024797524
431720,380073,,0,1,214.1845533,2.068720544,0.210623237,0.013203861
431720,380082,,0,1,147.2169185,1.424360444,0.145112351,0.008731755
431720,380086,,0,1,707.5645812,6.877171707,0.695702406,0.036437701
431720,380115,,0,1,113.7760197,1.100194542,0.112092386,0.006830051
431720,380118,,0,1,140.6617698,1.346821121,0.147397221,0.010287744
431720,380197,,0,1,304.029926,2.277321972,0.171859516,0.074897742
431720,380202,,0,1,220.8187104,2.141852655,0.218142953,0.012343021
431720,380257,,0,1,175.1078556,1.674437831,0.170454352,0.012868586
431720,380283,,0,1,147.4745332,1.412639949,0.144119896,0.010667899
431720,380316,,0,1,187.6909651,1.784702568,0.182247379,0.015429567
431720,380322,,0,1,126.4637712,1.259804398,0.127483314,0.002634651
431720,380335,,0,1,68.60946565,0.650067102,0.076381808,0.008576787
431720,380351,,0,1,13.81588441,0.102592731,0.007369675,0.003374655
431720,380352,,0,1,20.53256146,0.172129949,0.02041267,0.005976551
431720,380354,,0,1,123.3832326,0.875824748,0.060193561,0.0367806
431720,380386,,0,1,14.36281143,0.13321752,0.044315473,0.002085521
431720,380405,,0,1,84.06678424,0.629805856,0.05032826,0.019338686
431720,380490,,0,1,59.58330352,0.478958595,0.044094847,0.01421727
431720,380610,,0,1,151.6211623,1.24057959,0.101015733,0.025735146
431720,380620,,0,1,455.128998,3.696783112,0.3035046,0.081961068
431720,380832,,0,1,13.94012806,0.135184247,0.021468263,0.000639829
431720,380843,,0,1,267.4971345,1.886004014,0.129166373,0.071325724
431720,380857,,0,1,545.0183841,5.53286142,0.563132617,0
431720,380864,,0,1,26.54003359,0.263968753,0.02678229,0.000631978
431720,380877,,0,1,48.90547078,0.488857232,0.064753413,0.002091892
431720,380891,,0,1,308.3607702,2.956077955,0.301542591,0.021977989
431720,380952,,0,1,105.6105088,0.837538517,0.065566766,0.020424182
431720,380986,,0,1,27.17299298,0.259170623,0.035096922,0.002032307
431720,381012,,0,1,229.3895102,2.225875164,0.22931733,0.014500559
431720,381026,,0,1,174.2764004,1.670741149,0.170434971,0.012417465
431720,381030,,0,1,6.691474357,0.064904616,0.022164761,0.00037403
431720,381062,,0,1,153.0968681,1.491894455,0.155511782,0.007800868
431720,381095,,0,1,131.2021248,1.238226257,0.1211126,0.009405578
431720,381109,,0,1,106.8841151,1.043633456,0.112888086,0.005952919
431720,381131,,0,1,37.68749278,0.271410321,0.019466015,0.01096425
431720,381132,,0,1,15.7381406,0.112098686,0.00758524,0.004242854
431720,381133,,0,1,17.99287551,0.140211683,0.014470621,0.006093362
431720,381221,,0,1,72.40441677,0.734302797,0.074177179,0
431720,381298,,0,1,120.6702938,1.150145119,0.117414782,0.00953333
431720,381311,,0,1,246.6229352,2.31442771,0.247180901,0.019840204
