datetime;predefinedLocationReference;averageVehicleSpeed;travelTime;travelTimeReliability;trafficStatus;func_class;geo_point_2d;denomination;Geo Shape;id
2021-08-09T08:17:00+02:00;213972_D;46;6;0;freeFlow;666;48.1161905395,-1.71854551066;Rue de Vezin;"{""type"": ""MultiLineString"", ""coordinates"": [[[-1.7180070988, 48.1162062983], [-1.7190839225, 48.1161747806]]]}";176
2021-08-09T08:17:00+02:00;213972_G;46;6;0;freeFlow;666;48.1160827126,-1.71853847233;Rue de Vezin;"{""type"": ""MultiLineString"", ""coordinates"": [[[-1.7190768831, 48.1160669537], [-1.7180000616, 48.1160984714]]]}";177
2021-08-09T08:17:00+02:00;213973_D;47;8;0;freeFlow;666;48.1162262552,-1.71733073127;Rue de Vezin;"{""type"": ""MultiLineString"", ""coordinates"": [[[-1.7166550485, 48.1162470006], [-1.7178796352, 48.1162093266], [-1.718006436, 48.1162063159]]]}";178
2021-08-09T08:17:00+02:00;213973_G;47;8;0;freeFlow;666;48.1161184136,-1.71732417743;Rue de Vezin;"{""type"": ""MultiLineString"", ""coordinates"": [[[-1.7180007244, 48.1160984538], [-1.717873502, 48.1161014745], [-1.7178726584, 48.1161014975], [-1.7166476526, 48.1161391844]]]}";179
2021-08-09T08:17:00+02:00;213974_D;40;5;0;freeFlow;666;48.1161871965,-1.71945981513;Rue de Vezin;"{""type"": ""MultiLineString"", ""coordinates"": [[[-1.719076505, 48.116174769], [-1.7198431252, 48.116199624]]]}";180
2021-08-09T08:17:00+02:00;213974_G;40;5;0;freeFlow;666;48.1160793929,-1.71946760984;Rue de Vezin;"{""type"": ""MultiLineString"", ""coordinates"": [[[-1.7198509191, 48.1160918204], [-1.7190843005, 48.1160669654]]]}";181
2021-08-09T08:17:00+02:00;282910_D;51;4;32;freeFlow;666;48.1416605539,-1.65748096516;Avenue Général George S. Patton;"{""type"": ""MultiLineString"", ""coordinates"": [[[-1.6575397503, 48.1414319819], [-1.6575137604, 48.1415651385], [-1.6574113175, 48.1418863436]]]}";248
2021-08-09T08:17:00+02:00;282910_G;43;4;60;freeFlow;666;48.1416788481,-1.65763991225;Avenue Général George S. Patton;"{""type"": ""MultiLineString"", ""coordinates"": [[[-1.6575690238, 48.1419088745], [-1.6576721428, 48.1415855464], [-1.6576732399, 48.1415812713], [-1.6576996495, 48.1414459623]]]}";249
2021-08-09T08:17:00+02:00;420870_D;61;4;25;freeFlow;666;48.0962170877,-1.64009694878;Rue de Châteaugiron;"{""type"": ""MultiLineString"", ""coordinates"": [[[-1.6404874722, 48.0964262556], [-1.6397064254, 48.0960079198]]]}";610
2021-08-09T08:17:00+02:00;420870_G;48;5;52;freeFlow;666;48.0963013857,-1.63999633452;Rue de Châteaugiron;"{""type"": ""MultiLineString"", ""coordinates"": [[[-1.6396058109, 48.0960922174], [-1.6403868581, 48.0965105539]]]}";611
