did,oid,eid,sid,ent,alightingCount,alightingCount_D,boardingCount,boardingCount_D,waitingTime,waitingTime_D,totalWaitingTime,totalWaitingTime_D
432282,387842,StopPoint:T2C3377704015495226,0,1,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0
432282,387843,StopPoint:T2C3377704015495592,0,1,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0
432282,387845,StopPoint:T2C3377704015495982,0,1,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0
432282,387846,StopPoint:T2C3377704015495219,0,1,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0
432282,387847,StopPoint:T2C3377704015495209,0,1,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0
432282,387849,StopPoint:T2C3377704015495753,0,1,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0
432282,387850,StopPoint:T2C3377704015496136,0,1,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0
432282,387851,StopPoint:T2C3377704015495309,0,1,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0
432282,387852,StopPoint:T2C3377837159481352,0,1,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0
432282,387854,StopPoint:T2C3377704015495765,0,1,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0
432282,387855,StopPoint:T2C3377704015495864,0,1,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0
432282,387856,StopPoint:T2C3377704015495683,0,1,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0
432282,387857,StopPoint:T2C3377704015495703,0,1,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0
432282,387858,StopPoint:T2C3377704015495657,0,1,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0
432282,387859,StopPoint:T2C3377704015495390,0,1,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0
432282,387860,StopPoint:T2C3377704015495940,0,1,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0
432282,387861,StopPoint:T2C3377704015495789,0,1,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0
432282,387864,StopPoint:T2C3377704015495791,0,1,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0
432282,387865,StopPoint:T2C3377704015495500,0,1,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0
432282,387866,StopPoint:T2C3377704015496112,0,1,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0
432282,387867,StopPoint:T2C3377704015495780,0,1,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0
432282,387868,StopPoint:T2C3377704015495877,0,1,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0
432282,387869,StopPoint:T2C3377704015496089,0,1,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0
432282,387870,StopPoint:T2C3377837159481357,0,1,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0
432282,387916,StopPoint:T2C3377704015496378,0,1,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0
432282,388233,StopPoint:T2C3377837159481566 StopPoint:T2C3377704015495468,0,1,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0
432282,388235,StopPoint:T2C3377837159481465,0,1,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0
432282,388236,StopPoint:T2C3377837159481431,0,1,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0
432282,388237,StopPoint:T2C3377704015495489,0,1,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0
432282,388238,StopPoint:T2C3377704015495745,0,1,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0
432282,388239,StopPoint:T2C3377704015496282,0,1,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0
432282,388240,StopPoint:T2C3377704015495937,0,1,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0
432282,388241,StopPoint:T2C3377704015495549 StopPoint:T2C3377704015495548,0,1,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0
432282,388242,StopPoint:T2C3377704015495346,0,1,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0
432282,388243,StopPoint:T2C3377704015495827,0,1,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0
432282,388244,StopPoint:T2C3377704015495463,0,1,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0
432282,388245,StopPoint:T2C3377704015495263,0,1,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0
432282,388246,StopPoint:T2C3377704015495635 StopPoint:T2C3377704015495636,0,1,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0
432282,388247,StopPoint:T2C3377704015495589,0,1,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0
432282,388248,StopPoint:T2C3377704015495621,0,1,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0
432282,388249,StopPoint:T2C3377704015496258,0,1,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0
432282,388250,StopPoint:T2C3377704015496180,0,1,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0
432282,388251,StopPoint:T2C3377837159481468,0,1,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0
432282,388252,StopPoint:T2C3377837159481436,0,1,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0
432282,388253,StopPoint:T2C3377837159481423,0,1,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0
432282,388254,StopPoint:T2C3377837159481440,0,1,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0
432282,388333,StopPoint:T2C3377837159481441,0,1,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0
432282,388334,StopPoint:T2C3377837159481424,0,1,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0
432282,388335,StopPoint:T2C3377837159481437,0,1,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0
432282,388336,StopPoint:T2C3377704015495267,0,1,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0
432282,388337,StopPoint:T2C3377704015496181,0,1,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0
432282,388338,StopPoint:T2C3377704015496259,0,1,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0
432282,388339,StopPoint:T2C3377704015495622,0,1,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0
432282,388340,StopPoint:T2C3377704015495590,0,1,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0
432282,388342,StopPoint:T2C3377704015495264,0,1,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0
432282,388343,StopPoint:T2C3377704015495464,0,1,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0
432282,388344,StopPoint:T2C3377704015495347,0,1,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0
432282,388345,StopPoint:T2C3377704015495551,0,1,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0
432282,388346,StopPoint:T2C3377704015495938,0,1,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0
432282,388347,StopPoint:T2C3377704015496283,0,1,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0
432282,388348,StopPoint:T2C3377704015495747,0,1,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0
432282,388349,StopPoint:T2C3377704015495835,0,1,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0
432282,388350,StopPoint:T2C3377704015495797,0,1,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0
432282,388351,StopPoint:T2C3377837159481570,0,1,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0
432282,388352,StopPoint:T2C3377837159481571 StopPoint:T2C3377704015495467,0,1,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0
432282,388475,StopPoint:T2C3377704015495650,0,1,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0
432282,388478,StopPoint:T2C3377704015495802,0,1,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0
432282,388555,StopPoint:T2C3377704015495624,0,1,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0
432282,388556,StopPoint:T2C3377704015495803,0,1,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0
