did,oid,sid,ent,ptline,from_stop,to_stop,count,count_D,ttime,ttime_D
194518,194518,0,1,181834,0,181830,1,0,8.0,-1.0
194518,194518,0,1,181834,174784,174785,1,0,22.4,-1.0
194518,194518,0,1,181834,174785,176339,3,0,108.267,15.8863
194518,194518,0,1,181834,176233,176340,2,0,36.0,12.4451
194518,194518,0,1,181834,176339,176587,2,0,25.2,1.69706
194518,194518,0,1,181834,176340,176341,2,0,28.0,1.13137
194518,194518,0,1,181834,176341,176342,2,0,28.0,2.26274
194518,194518,0,1,181834,176342,176343,2,0,40.0,2.26274
194518,194518,0,1,181834,176343,176344,1,0,24.8,-1.0
194518,194518,0,1,181834,176344,176345,2,0,39.6,7.35391
194518,194518,0,1,181834,176345,176346,2,0,26.4,1.13137
194518,194518,0,1,181834,176346,176347,2,0,26.4,2.26274
194518,194518,0,1,181834,176347,176348,1,0,33.6,-1.0
194518,194518,0,1,181834,176348,176349,1,0,25.6,-1.0
194518,194518,0,1,181834,176349,176350,1,0,27.2,-1.0
194518,194518,0,1,181834,176350,176351,1,0,28.8,-1.0
194518,194518,0,1,181834,176351,176352,1,0,30.4,-1.0
194518,194518,0,1,181834,176352,176353,1,0,28.0,-1.0
194518,194518,0,1,181834,176353,176354,1,0,20.0,-1.0
194518,194518,0,1,181834,176354,176356,0,0,-1.0,-1.0
194518,194518,0,1,181834,176356,176357,0,0,-1.0,-1.0
194518,194518,0,1,181834,176357,176358,0,0,-1.0,-1.0
194518,194518,0,1,181834,176587,176233,1,0,30.4,-1.0
194518,194518,0,1,181834,181826,181831,2,0,70.8,39.0323
194518,194518,0,1,181834,181828,181826,1,0,38.4,-1.0
194518,194518,0,1,181834,181830,181828,2,0,40.4,16.4049
194518,194518,0,1,181834,181831,181832,2,0,34.4,1.13137
194518,194518,0,1,181834,181832,174784,1,0,18.4,-1.0
194518,194518,0,1,181836,0,177934,2,0,5.6,0.0
194518,194518,0,1,181836,174892,174893,0,0,-1.0,-1.0
194518,194518,0,1,181836,174893,174894,1,0,54.4,-1.0
194518,194518,0,1,181836,174894,181825,0,0,-1.0,-1.0
194518,194518,0,1,181836,174948,174949,2,0,34.0,1.69706
194518,194518,0,1,181836,174949,176438,0,0,-1.0,-1.0
194518,194518,0,1,181836,176423,176424,2,0,50.8,22.0617
194518,194518,0,1,181836,176424,176425,2,0,32.0,3.39411
194518,194518,0,1,181836,176425,176426,2,0,34.4,1.13137
194518,194518,0,1,181836,176426,176427,2,0,28.4,1.69706
194518,194518,0,1,181836,176427,176428,1,0,28.0,-1.0
194518,194518,0,1,181836,176428,176429,2,0,40.4,14.1421
194518,194518,0,1,181836,176429,176430,1,0,32.8,-1.0
194518,194518,0,1,181836,176430,176431,1,0,57.6,-1.0
194518,194518,0,1,181836,176431,176433,1,0,58.4,-1.0
194518,194518,0,1,181836,176433,176434,2,0,56.4,48.0833
194518,194518,0,1,181836,176434,176435,2,0,47.2,2.26274
194518,194518,0,1,181836,176435,176436,1,0,30.4,-1.0
194518,194518,0,1,181836,176436,176437,2,0,38.4,13.5765
194518,194518,0,1,181836,176437,174948,2,0,52.8,13.5765
194518,194518,0,1,181836,176438,174892,1,0,128.8,-1.0
194518,194518,0,1,181836,177934,176423,1,0,40.8,-1.0
194518,194518,0,1,181836,181825,181827,1,0,91.2,-1.0
194518,194518,0,1,181836,181827,181829,1,0,34.4,-1.0
194518,194518,0,1,182122,0,181830,0,0,-1.0,-1.0
194518,194518,0,1,182122,174784,174785,0,0,-1.0,-1.0
194518,194518,0,1,182122,174785,176339,0,0,-1.0,-1.0
194518,194518,0,1,182122,176233,176340,0,0,-1.0,-1.0
194518,194518,0,1,182122,176339,176587,0,0,-1.0,-1.0
194518,194518,0,1,182122,176340,176341,0,0,-1.0,-1.0
194518,194518,0,1,182122,176341,176342,0,0,-1.0,-1.0
194518,194518,0,1,182122,176342,176343,0,0,-1.0,-1.0
194518,194518,0,1,182122,176343,176344,0,0,-1.0,-1.0
194518,194518,0,1,182122,176344,176345,0,0,-1.0,-1.0
194518,194518,0,1,182122,176345,176346,0,0,-1.0,-1.0
194518,194518,0,1,182122,176346,176347,0,0,-1.0,-1.0
194518,194518,0,1,182122,176347,176348,0,0,-1.0,-1.0
194518,194518,0,1,182122,176348,176349,0,0,-1.0,-1.0
194518,194518,0,1,182122,176349,176350,0,0,-1.0,-1.0
194518,194518,0,1,182122,176350,176351,0,0,-1.0,-1.0
194518,194518,0,1,182122,176351,176352,0,0,-1.0,-1.0
194518,194518,0,1,182122,176352,176353,0,0,-1.0,-1.0
194518,194518,0,1,182122,176353,176354,0,0,-1.0,-1.0
194518,194518,0,1,182122,176354,176356,0,0,-1.0,-1.0
194518,194518,0,1,182122,176356,176357,0,0,-1.0,-1.0
